frame_idx,fid3d_idx,raw_left_cx,raw_left_cy,raw_right_cx,raw_right_cy,sdk_reproj_left_cx,sdk_reproj_left_cy,sdk_reproj_right_cx,sdk_reproj_right_cy,rev_reproj_left_cx,rev_reproj_left_cy,rev_reproj_right_cx,rev_reproj_right_cy,sdk_left_err_px,sdk_right_err_px,rev_left_err_px,rev_right_err_px
0,1,1249.751099,618.845093,839.491089,608.570007,1249.762573,619.983459,839.490417,607.430847,1249.762695,619.983459,839.490417,607.430908,1.138425,1.139160,1.138426,1.139099
0,4,981.656921,622.272583,1208.200073,606.185486,981.662292,621.208862,1208.193604,607.254456,981.662292,621.208862,1208.193604,607.254456,1.063734,1.068989,1.063734,1.068989
0,7,1236.437866,523.980591,628.955688,514.007324,1236.438965,524.789734,628.949829,513.207764,1236.438965,524.789734,628.949890,513.207764,0.809144,0.799582,0.809144,0.799582
0,10,708.173828,525.647644,1183.875610,509.859009,708.080444,524.958496,1183.970337,510.543091,708.080383,524.958435,1183.970337,510.543121,0.695446,0.690609,0.695515,0.690640
1,5,1236.425781,523.981628,628.939575,514.014587,1236.426880,524.793884,628.933777,513.211914,1236.426880,524.793884,628.933777,513.211975,0.812257,0.802694,0.812257,0.802633
1,8,708.165283,525.657288,1183.861328,509.855835,708.070068,524.961670,1183.957886,510.546326,708.070007,524.961670,1183.957886,510.546326,0.702104,0.697209,0.702112,0.697209
2,4,795.024414,577.844421,783.367371,565.061707,795.025696,578.290894,783.366211,564.625427,795.025696,578.290894,783.366150,564.625427,0.446474,0.436281,0.446474,0.436281
2,5,920.828491,578.313843,723.493225,564.417969,920.828186,577.980957,723.493103,564.743835,920.828186,577.980957,723.493042,564.743835,0.332886,0.325867,0.332886,0.325867
2,8,708.161011,525.640442,1183.857300,509.852264,708.067566,524.951416,1183.952026,510.536194,708.067566,524.951416,1183.952026,510.536194,0.695333,0.690458,0.695333,0.690458
3,4,920.053711,582.026306,723.508545,564.418274,920.063721,579.838257,723.495300,566.559998,920.063721,579.838257,723.495239,566.559998,2.188072,2.141765,2.188072,2.141765
3,5,795.037598,577.836670,782.106079,568.698669,795.062012,580.146667,782.082886,566.441406,795.062012,580.146606,782.082886,566.441467,2.310127,2.257382,2.310066,2.257321
3,8,708.173462,525.640320,1183.874634,509.855133,708.080444,524.952820,1183.968872,510.537506,708.080444,524.952820,1183.968872,510.537537,0.693764,0.688850,0.693764,0.688880
4,6,708.158325,525.649963,1183.861206,509.856842,708.064270,524.958496,1183.956665,510.543182,708.064270,524.958496,1183.956543,510.543213,0.697835,0.692947,0.697835,0.692960
5,5,1236.424683,523.980896,628.936768,514.006836,1236.425659,524.789612,628.930969,513.207703,1236.425781,524.789551,628.930969,513.207703,0.808716,0.799154,0.808656,0.799154
5,8,708.160278,525.648804,1183.857544,509.851593,708.065613,524.955322,1183.953613,510.540009,708.065613,524.955261,1183.953491,510.540009,0.699913,0.695087,0.699973,0.695070
6,6,708.162598,525.631409,1183.869873,509.847748,708.069885,524.944702,1183.963867,510.529419,708.069824,524.944641,1183.963867,510.529449,0.692937,0.688121,0.693005,0.688151
7,6,708.163879,525.639221,1183.862427,509.847260,708.069946,524.948364,1183.957764,510.533081,708.069946,524.948303,1183.957642,510.533081,0.697214,0.692416,0.697274,0.692399
8,0,1249.744751,618.839905,984.955566,608.543030,1249.756714,619.963074,984.952209,607.410828,1249.756714,619.963013,984.952209,607.410889,1.123233,1.132207,1.123172,1.132146
8,3,1109.581543,621.700073,1208.189941,606.176086,1109.581787,620.622620,1208.186646,607.265320,1109.581787,620.622620,1208.186646,607.265320,1.077454,1.089238,1.077454,1.089238
8,8,708.168091,525.644714,1183.862061,509.860352,708.075134,524.957642,1183.956299,510.542358,708.075134,524.957642,1183.956299,510.542358,0.693332,0.688487,0.693332,0.688487
9,4,939.297058,580.371521,723.504333,564.422119,939.299744,578.988647,723.499512,565.776855,939.299744,578.988586,723.499451,565.776917,1.382876,1.354745,1.382937,1.354806
9,5,795.040344,577.846802,797.731506,567.110962,795.051636,579.354553,797.720703,565.636414,795.051636,579.354492,797.720642,565.636414,1.507794,1.474588,1.507733,1.474588
9,8,708.178345,525.642029,1183.871094,509.848450,708.084167,524.950317,1183.966675,510.535034,708.084106,524.950317,1183.966553,510.535065,0.698093,0.693206,0.698101,0.693219
10,3,1007.610291,579.055542,723.505798,564.425293,1007.609985,578.244385,723.504456,565.222351,1007.609985,578.244385,723.504517,565.222351,0.811157,0.797059,0.811157,0.797059
10,4,795.030579,577.848999,863.114197,565.836182,795.035767,578.771179,863.108826,564.931152,795.035767,578.771118,863.108765,564.931213,0.922195,0.905045,0.922134,0.904985
10,8,708.166260,525.636230,1183.864014,509.844421,708.072327,524.945374,1183.959229,510.530151,708.072327,524.945374,1183.959229,510.530182,0.697214,0.692309,0.697214,0.692339
11,6,708.171875,525.636841,1183.870483,509.849701,708.078613,524.948425,1183.965088,510.533112,708.078613,524.948364,1183.965088,510.533112,0.694704,0.689928,0.694765,0.689928
12,5,708.165039,525.646423,1183.866821,509.850708,708.070679,524.953674,1183.962524,510.538361,708.070618,524.953674,1183.962524,510.538361,0.699146,0.694280,0.699154,0.694280
12,6,959.450012,507.347412,1255.437500,496.996216,959.507385,509.548981,1255.369507,494.781586,959.507385,509.548950,1255.369629,494.781616,2.202316,2.215674,2.202286,2.215639
13,4,708.168213,525.647888,1183.864746,509.850494,708.073547,524.954285,1183.960815,510.538971,708.073547,524.954285,1183.960815,510.539001,0.700034,0.695147,0.700034,0.695177
13,5,708.168213,525.647888,871.341248,512.068848,708.168701,525.314209,871.342224,512.395386,708.168640,525.314209,871.342224,512.395447,0.333680,0.326540,0.333679,0.326601
13,6,1020.443909,524.774475,628.947327,514.007446,1020.444458,525.212952,628.944458,513.578674,1020.444458,525.212952,628.944458,513.578674,0.438477,0.428782,0.438477,0.428782
13,7,1020.443909,524.774475,1183.864746,509.850494,1020.444458,524.473755,1183.865479,510.152985,1020.444458,524.473755,1183.865479,510.153015,0.300721,0.302491,0.300721,0.302522
