frame_idx,fid3d_idx,sdk_pos_x_mm,sdk_pos_y_mm,sdk_pos_z_mm,rev_pos_x_mm,rev_pos_y_mm,rev_pos_z_mm,pos_diff_mm,sdk_epiErr_px,rev_epiErr_px,epi_diff_px,sdk_triErr_mm,rev_triErr_mm,tri_diff_mm,leftIndex,rightIndex,left_cx,left_cy,right_cx,right_cy,probability,status_bits
0,10,13317.414062,481.737091,-91654.804688,13317.354492,481.734467,-91654.390625,0.418334,-1.369409,-1.369479,0.000069,55.985672,55.988369,0.002697,5,6,708.173828,525.647644,1183.875610,509.859009,0.500000,96
1,8,13320.632812,481.709686,-91674.078125,13320.648438,481.710022,-91674.179688,0.102758,-1.382252,-1.382298,0.000046,56.532623,56.534660,0.002037,5,6,708.165283,525.657288,1183.861328,509.855835,0.500000,96
2,8,13325.057617,482.277954,-91703.835938,13325.023438,482.276672,-91703.601562,0.236858,-1.369092,-1.369151,0.000059,56.003040,56.005413,0.002373,5,6,708.161011,525.640442,1183.857300,509.852264,0.500000,96
3,8,13319.232422,482.029358,-91667.328125,13319.266602,482.029877,-91667.570312,0.244588,-1.366024,-1.366083,0.000059,55.852554,55.855221,0.002666,5,6,708.173462,525.640320,1183.874634,509.855133,0.500000,96
4,6,13315.201172,481.632355,-91635.085938,13315.282227,481.634552,-91635.648438,0.568314,-1.373953,-1.374012,0.000059,56.162609,56.165493,0.002884,5,6,708.158325,525.649963,1183.861206,509.856842,0.500000,96
5,8,13320.761719,481.964691,-91673.734375,13320.791992,481.965912,-91673.937500,0.205372,-1.378125,-1.378129,0.000003,56.360508,56.360840,0.000332,5,6,708.160278,525.648804,1183.857544,509.851593,0.500000,96
7,6,13320.660156,482.247345,-91674.226562,13320.735352,482.250519,-91674.750000,0.528821,-1.372893,-1.372921,0.000028,56.142902,56.144455,0.001553,5,6,708.163879,525.639221,1183.862427,509.847260,0.500000,96
9,8,13326.646484,482.404266,-91719.382812,13326.693359,482.405487,-91719.703125,0.323727,-1.374449,-1.374485,0.000036,56.235836,56.237579,0.001743,5,6,708.178345,525.642029,1183.871094,509.848450,0.500000,96
12,5,13315.470703,481.845215,-91638.718750,13315.384766,481.842560,-91638.117188,0.607676,-1.376570,-1.376607,0.000037,56.273811,56.275024,0.001213,6,7,708.165039,525.646423,1183.866821,509.850708,0.500000,96
15,4,13320.708984,482.209625,-91672.960938,13320.741211,482.210541,-91673.179688,0.221113,-1.370676,-1.370748,0.000072,56.049801,56.053005,0.003204,7,8,708.157776,525.638916,1183.857178,509.849152,0.500000,96
16,4,13319.325195,482.292755,-91668.968750,13319.354492,482.293854,-91669.171875,0.205230,-1.374159,-1.374210,0.000051,56.192261,56.194557,0.002296,7,8,708.178162,525.638062,1183.876831,509.844757,0.500000,96
17,4,13324.820312,482.471619,-91701.460938,13324.849609,482.473053,-91701.664062,0.205232,-1.373502,-1.373519,0.000018,56.185253,56.186172,0.000919,7,8,708.158936,525.637512,1183.854248,509.845001,0.500000,96
18,6,13324.178711,482.247375,-91704.242188,13324.254883,482.250061,-91704.765625,0.528958,-1.364619,-1.364633,0.000014,55.816891,55.817841,0.000950,7,8,708.183594,525.638977,1183.880737,509.855225,0.500000,96
19,4,13314.097656,481.893524,-91629.218750,13314.070312,481.892120,-91629.023438,0.197222,-1.370446,-1.370500,0.000054,56.012974,56.015141,0.002167,7,8,708.164001,525.640930,1183.868530,509.851349,0.500000,96
20,6,13314.603516,481.906677,-91632.992188,13314.641602,481.908142,-91633.265625,0.276081,-1.377459,-1.377468,0.000009,56.307240,56.307831,0.000591,7,8,708.166077,525.644592,1183.868164,509.848022,0.500000,96
21,6,13320.314453,481.732452,-91675.093750,13320.356445,481.734406,-91675.390625,0.299836,-1.367040,-1.367061,0.000021,55.899647,55.900776,0.001129,7,8,708.174744,525.649170,1183.874756,509.862946,0.500000,96
22,7,13319.981445,481.835205,-91669.203125,13320.042969,481.837921,-91669.625000,0.426346,-1.368173,-1.368201,0.000028,55.943245,55.944736,0.001492,6,7,708.161926,525.646423,1183.862427,509.859131,0.500000,96
23,5,13323.847656,482.508789,-91701.437500,13323.918945,482.511078,-91701.929688,0.497329,-1.373480,-1.373514,0.000035,56.184200,56.186016,0.001816,6,7,708.182922,525.636597,1183.877930,509.843994,0.333333,96
24,4,13325.830078,482.199371,-91708.000000,13325.934570,482.203033,-91708.734375,0.741781,-1.362075,-1.362122,0.000046,55.713440,55.715885,0.002445,7,8,708.155945,525.639404,1183.853638,509.858276,0.500000,96
27,5,13323.626953,482.188843,-91695.203125,13323.653320,482.190338,-91695.382812,0.181618,-1.368221,-1.368238,0.000017,55.961365,55.962250,0.000885,7,7,708.165222,525.641052,1183.862671,509.853760,0.333333,96
28,8,13315.521484,481.783386,-91640.304688,13315.554688,481.784668,-91640.531250,0.228986,-1.369705,-1.369727,0.000022,55.989002,55.990128,0.001125,7,8,708.168579,525.644714,1183.871948,509.855865,0.500000,96
29,8,13313.547852,481.640472,-91624.585938,13313.587891,481.642517,-91624.859375,0.276361,-1.370865,-1.370899,0.000034,56.027508,56.029156,0.001648,5,6,708.161011,525.646790,1183.865967,509.856781,0.333333,96
31,11,13312.711914,481.807434,-91620.148438,13312.665039,481.805084,-91619.828125,0.323733,-1.375329,-1.375383,0.000054,56.210514,56.212612,0.002098,6,7,708.166382,525.644348,1183.870605,509.849854,0.333333,96
32,4,13314.568359,481.996918,-91634.335938,13314.536133,481.995514,-91634.117188,0.221116,-1.372410,-1.372465,0.000056,56.097836,56.100086,0.002251,7,8,708.171082,525.640015,1183.874390,509.848450,0.500000,96
34,8,13329.163086,482.353363,-91735.546875,13329.201172,482.354553,-91735.812500,0.268344,-1.368616,-1.368643,0.000027,56.002892,56.004238,0.001347,6,7,708.173401,525.642456,1183.865967,509.854736,0.500000,96
35,4,13322.125000,481.962036,-91687.609375,13322.103516,481.961121,-91687.453125,0.157723,-1.372030,-1.372087,0.000057,56.115238,56.117577,0.002338,7,8,708.175598,525.647644,1183.872803,509.856415,0.333333,96
36,8,13320.134766,481.777588,-91670.726562,13320.194336,481.780060,-91671.148438,0.426067,-1.371226,-1.371259,0.000032,56.071297,56.072968,0.001671,6,7,708.164062,525.649597,1183.863525,509.859222,0.333333,96
37,11,13324.562500,482.004608,-91702.492188,13324.651367,482.007507,-91703.109375,0.623559,-1.375249,-1.375285,0.000036,56.258625,56.260578,0.001953,6,6,708.169312,525.650146,1183.863892,509.855743,0.333333,96
38,5,13318.367188,481.922729,-91657.750000,13318.397461,481.923065,-91657.960938,0.213099,-1.380480,-1.380524,0.000044,56.448551,56.450588,0.002037,6,7,708.162415,525.648987,1183.860840,509.849365,0.500000,96
41,12,13313.527344,481.620483,-91622.507812,13313.625977,481.623840,-91623.203125,0.702281,-1.369628,-1.369677,0.000049,55.974796,55.977337,0.002541,5,6,708.153931,525.646423,1183.859497,509.857666,0.500000,96
43,12,13313.152344,481.605713,-91622.859375,13313.187500,481.607330,-91623.109375,0.252465,-1.374323,-1.374349,0.000026,56.170334,56.171623,0.001289,5,6,708.165100,525.649170,1183.869263,509.855682,0.500000,96
44,10,13324.875000,482.063629,-91703.031250,13324.842773,482.061829,-91702.804688,0.228850,-1.366361,-1.366399,0.000038,55.888805,55.890289,0.001484,5,6,708.162231,525.644287,1183.859375,509.858826,0.500000,96
45,8,13331.704102,482.778229,-91755.148438,13331.674805,482.777557,-91754.945312,0.205228,-1.355546,-1.355554,0.000009,55.470459,55.470757,0.000298,5,6,708.179199,525.627869,1183.873047,509.853302,0.500000,96
48,8,13323.119141,482.212555,-91692.968750,13323.217773,482.215179,-91693.656250,0.694544,-1.373985,-1.374038,0.000053,56.200024,56.202721,0.002697,5,6,708.170593,525.643127,1183.866577,509.850006,0.500000,96
49,10,13324.078125,482.195129,-91701.515625,13324.116211,482.196808,-91701.781250,0.268347,-1.372335,-1.372358,0.000023,56.136600,56.137791,0.001190,5,6,708.177368,525.643799,1183.872803,509.852325,0.500000,96
51,10,13330.116211,482.058319,-91737.382812,13330.165039,482.060272,-91737.726562,0.347206,-1.369498,-1.369518,0.000020,56.040859,56.041965,0.001106,5,6,708.156555,525.650452,1183.848877,509.861877,0.500000,96
52,9,13330.195312,482.420441,-91748.632812,13330.221680,482.421692,-91748.812500,0.181616,-1.361396,-1.361435,0.000039,55.710068,55.711853,0.001785,5,6,708.193909,525.638855,1183.886719,509.858276,0.500000,96
53,6,13320.067383,481.965118,-91664.273438,13320.015625,481.963165,-91663.914062,0.363088,-1.367597,-1.367609,0.000013,55.916267,55.916630,0.000362,5,6,708.141968,525.642273,1183.843506,509.855682,0.500000,96
54,8,13332.153320,482.590485,-91756.554688,13332.240234,482.594177,-91757.164062,0.615553,-1.362896,-1.362916,0.000019,55.777596,55.778835,0.001240,5,6,708.174194,525.636414,1183.865845,509.854462,0.500000,96
55,8,13319.046875,481.701385,-91668.718750,13319.112305,481.704102,-91669.171875,0.457833,-1.368861,-1.368879,0.000019,55.971455,55.972561,0.001106,5,6,708.183411,525.650024,1183.883545,509.861938,0.500000,96
56,10,13318.148438,481.838745,-91649.578125,13318.122070,481.837494,-91649.398438,0.181616,-1.378452,-1.378515,0.000063,56.359093,56.361656,0.002563,5,6,708.138123,525.648987,1183.838379,509.851471,0.500000,96
57,8,13322.765625,482.535095,-91697.460938,13322.824219,482.537048,-91697.867188,0.410458,-1.371554,-1.371610,0.000056,56.101444,56.104076,0.002632,5,6,708.195129,525.634460,1183.890991,509.843719,0.500000,96
59,8,13326.463867,482.332916,-91714.140625,13326.491211,482.334229,-91714.343750,0.204961,-1.367826,-1.367869,0.000043,55.956688,55.958664,0.001976,5,6,708.163147,525.639771,1183.858521,509.852875,0.500000,96
60,8,13319.075195,482.159332,-91669.531250,13319.132812,482.161713,-91669.937500,0.410322,-1.361873,-1.361914,0.000041,55.681072,55.683067,0.001995,5,6,708.184692,525.635254,1183.886597,509.854218,0.500000,96
62,4,13320.874023,482.081940,-91681.945312,13320.942383,482.084991,-91682.429688,0.489184,-1.360437,-1.360465,0.000028,55.628979,55.630497,0.001518,7,8,708.184631,525.638062,1183.885498,509.858459,0.500000,96
