frame_idx,sdk_left_raw_count,sdk_right_raw_count,sdk_fid3d_count,rev_fid3d_count,count_diff,matched_pairs,mean_pair_pos_diff_mm,max_pair_pos_diff_mm,rev_matchTri_us
0,12,13,16,16,0,16,0.026328,0.418334,258.200000
1,12,13,14,14,0,14,0.007513,0.102758,124.500000
2,11,13,14,14,0,14,0.017096,0.236858,122.500000
3,11,13,14,12,2,12,0.020490,0.244588,148.000000
4,11,13,12,12,0,12,0.047508,0.568314,147.600000
5,12,13,14,14,0,14,0.014795,0.205372,127.400000
6,11,13,12,12,0,12,0.007380,0.086738,135.400000
7,11,13,12,12,0,12,0.044239,0.528821,139.700000
8,11,13,14,14,0,14,0.006422,0.087018,158.300000
9,11,13,14,13,1,13,0.025022,0.323727,309.900000
10,11,13,14,14,0,14,0.000183,0.000492,199.700000
11,11,13,12,12,0,12,0.008011,0.094606,312.800000
12,11,13,13,12,1,12,0.050818,0.607676,118.000000
13,11,13,15,15,0,15,0.001808,0.023761,153.400000
14,12,13,14,14,0,14,0.000723,0.008061,168.300000
15,11,13,12,12,0,12,0.018583,0.221113,121.500000
16,11,13,13,12,1,12,0.017245,0.205230,147.800000
17,11,13,12,12,0,12,0.017230,0.205232,117.800000
18,12,13,14,14,0,14,0.037920,0.528958,128.100000
19,11,13,12,12,0,12,0.016614,0.197222,222.900000
20,12,13,14,14,0,14,0.019879,0.276081,127.200000
21,11,13,14,14,0,14,0.021597,0.299836,124.700000
22,12,13,15,15,0,15,0.028645,0.426346,133.000000
23,11,13,15,15,0,15,0.033337,0.497329,133.600000
24,11,13,12,12,0,12,0.062014,0.741781,245.800000
25,11,13,14,14,0,14,0.001300,0.016119,179.700000
26,11,13,15,15,0,15,0.003807,0.055247,127.300000
27,11,13,15,15,0,15,0.012231,0.181618,145.200000
28,12,13,17,17,0,17,0.013751,0.228986,147.200000
29,12,13,14,11,3,11,0.025253,0.276361,122.800000
30,11,13,15,15,0,15,0.001159,0.015747,129.400000
31,12,13,18,16,2,16,0.020354,0.323733,133.000000
32,11,13,13,13,0,13,0.017250,0.221116,121.100000
33,12,13,14,14,0,14,0.006362,0.086870,126.800000
34,12,13,15,14,1,14,0.019297,0.268344,126.900000
35,11,13,15,15,0,15,0.010741,0.157723,169.400000
36,12,13,18,18,0,18,0.023829,0.426067,140.900000
37,12,13,20,20,0,20,0.031381,0.623559,183.500000
38,11,13,13,12,1,12,0.017915,0.213099,117.700000
39,11,13,12,12,0,12,0.008050,0.095044,165.300000
40,12,13,16,14,2,14,0.005795,0.079312,127.400000
41,11,13,18,18,0,18,0.039181,0.702281,274.400000
42,12,13,20,18,2,18,0.002487,0.039367,437.400000
43,12,13,18,17,1,17,0.014964,0.252465,290.800000
44,11,13,16,14,2,14,0.016615,0.228850,125.000000
45,11,13,14,14,0,14,0.014771,0.205228,140.000000
46,12,13,16,14,2,14,0.001282,0.015755,127.500000
47,11,13,13,12,1,12,0.004781,0.055243,118.600000
48,11,13,14,12,2,12,0.058051,0.694544,119.500000
49,12,13,16,14,2,14,0.019314,0.268347,127.100000
50,11,13,14,14,0,14,0.000707,0.008068,258.200000
51,11,13,16,16,0,16,0.021878,0.347206,163.400000
52,12,13,15,14,1,14,0.013118,0.181616,130.800000
53,11,13,12,12,0,12,0.030375,0.363088,197.500000
54,12,13,14,14,0,14,0.044085,0.615553,204.100000
55,12,13,14,14,0,14,0.032874,0.457833,230.000000
56,12,13,16,14,2,14,0.013101,0.181616,126.700000
57,11,13,14,12,2,12,0.034352,0.410458,199.700000
58,11,13,14,12,2,12,0.002120,0.023626,165.800000
59,11,13,14,12,2,12,0.017258,0.204961,220.300000
60,12,13,14,14,0,14,0.029486,0.410322,126.900000
61,12,13,17,16,1,16,0.004545,0.071131,132.700000
62,11,13,12,12,0,12,0.040924,0.489184,119.300000
63,12,13,14,14,0,14,0.001824,0.023531,126.600000
64,12,13,14,14,0,14,0.024896,0.347066,181.500000
65,11,13,15,13,2,13,0.040240,0.520943,123.100000
66,12,13,18,18,0,18,0.008913,0.157723,211.900000
67,11,13,15,15,0,15,0.006494,0.094888,130.500000
68,11,13,15,15,0,15,0.040659,0.607959,128.400000
69,12,13,18,18,0,18,0.008066,0.142115,251.400000
70,12,13,17,14,3,14,0.004084,0.055394,271.300000
71,12,13,19,14,5,14,0.020433,0.284231,552.700000
72,12,13,18,16,2,16,0.010445,0.165598,138.100000
73,11,13,15,15,0,15,0.015990,0.236582,128.900000
74,12,13,18,18,0,18,0.029537,0.528683,139.800000
75,12,13,14,14,0,14,0.000281,0.002046,257.100000
76,11,13,12,12,0,12,0.038961,0.465843,148.500000
77,11,13,12,12,0,12,0.002735,0.031506,122.700000
78,11,13,15,13,2,13,0.044592,0.576330,156.900000
79,12,13,18,16,2,16,0.011484,0.181613,216.200000
80,12,13,18,18,0,18,0.034427,0.615688,144.100000
81,11,13,15,15,0,15,0.014378,0.213242,134.700000
82,12,13,15,15,0,15,0.031330,0.465702,132.200000
83,11,13,13,12,1,12,0.037677,0.450101,120.400000
84,11,13,14,12,2,12,0.010637,0.126098,135.100000
85,11,13,14,12,2,12,0.031699,0.378562,391.600000
86,11,13,14,13,1,13,0.016548,0.212964,324.200000
87,11,13,14,12,2,12,0.013313,0.157592,390.400000
88,12,13,16,14,2,14,0.034519,0.481310,369.500000
89,11,13,14,12,2,12,0.030380,0.363231,118.700000
90,11,13,14,12,2,12,0.010688,0.126100,118.700000
91,12,13,15,14,1,14,0.042467,0.591935,126.300000
92,12,13,14,14,0,14,0.001842,0.023621,125.000000
93,11,13,12,12,0,12,0.009401,0.110781,117.800000
94,12,13,14,14,0,14,0.012577,0.173742,145.800000
95,11,13,12,12,0,12,0.010005,0.118500,121.000000
96,12,13,14,14,0,14,0.031729,0.441945,127.800000
97,12,13,14,14,0,14,0.023783,0.331322,138.800000
98,11,13,12,12,0,12,0.021855,0.260620,119.400000
99,12,13,14,14,0,14,0.003467,0.047371,134.300000
100,11,13,12,12,0,12,0.011992,0.142258,122.100000
101,12,13,15,14,1,14,0.007428,0.102483,137.500000
102,11,13,14,14,0,14,0.008025,0.110352,129.400000
103,11,13,12,12,0,12,0.021813,0.260333,134.000000
104,12,13,14,14,0,14,0.050334,0.702421,127.800000
105,11,13,12,12,0,12,0.050154,0.599944,117.900000
106,11,13,12,12,0,12,0.012652,0.150130,144.300000
107,12,13,18,15,3,15,0.005967,0.087019,234.200000
108,11,13,13,13,0,13,0.000227,0.000981,122.800000
109,11,13,12,12,0,12,0.027126,0.323586,169.800000
110,12,13,18,16,2,16,0.015889,0.252602,133.100000
111,11,13,15,13,2,13,0.011220,0.142258,121.800000
112,12,13,14,14,0,14,0.026097,0.362949,144.800000
113,12,13,14,14,0,14,0.000680,0.007875,127.100000
114,12,13,15,15,0,15,0.023877,0.355216,131.700000
115,11,13,12,12,0,12,0.029105,0.347348,120.000000
116,12,13,14,14,0,14,0.028300,0.394577,127.500000
117,8,13,9,9,0,9,0.055416,0.497334,139.800000
118,8,13,9,9,0,9,0.025588,0.228987,143.000000
119,10,13,12,12,0,12,0.028390,0.339197,120.500000
120,10,13,12,11,1,11,0.049659,0.544699,114.600000
121,9,13,10,10,0,10,0.000114,0.000253,136.300000
122,9,13,11,11,0,11,0.020263,0.221112,114.700000
123,11,13,13,13,0,13,0.019010,0.244733,126.200000
124,12,13,15,14,1,14,0.003475,0.047240,126.500000
125,12,13,18,18,0,18,0.001926,0.031494,141.700000
126,11,13,15,14,1,14,0.034550,0.481587,128.300000
127,11,13,15,15,0,15,0.027997,0.418193,137.300000
128,11,13,12,12,0,12,0.021842,0.260338,323.500000
129,11,13,16,16,0,16,0.020889,0.331327,131.700000
130,8,13,9,9,0,9,0.036956,0.331327,105.300000
131,8,13,10,10,0,10,0.001693,0.015659,109.200000
132,8,13,9,9,0,9,0.023809,0.213104,105.900000
133,9,10,11,11,0,11,0.005181,0.055553,111.400000
134,8,10,9,9,0,9,0.051068,0.457833,100.300000
135,8,10,9,9,0,9,0.037859,0.339198,106.300000
136,11,13,12,12,0,12,0.014599,0.173742,129.600000
137,12,13,14,14,0,14,0.054879,0.765674,135.200000
138,12,13,14,14,0,14,0.028916,0.402451,127.000000
139,11,13,15,15,0,15,0.042759,0.639447,131.300000
140,12,13,18,14,4,14,0.028890,0.402446,127.300000
141,11,13,15,15,0,15,0.018099,0.268346,128.800000
142,11,13,15,14,1,14,0.025535,0.355215,126.200000
143,12,13,14,14,0,14,0.009184,0.126376,155.500000
144,12,13,14,14,0,14,0.011395,0.158148,162.500000
145,12,13,14,14,0,14,0.031159,0.434359,128.100000
146,11,13,12,12,0,12,0.027094,0.323450,118.700000
147,11,13,12,12,0,12,0.036332,0.434076,120.000000
148,12,13,14,14,0,14,0.015906,0.220973,131.900000
149,11,13,12,12,0,12,0.023165,0.276223,148.100000
150,12,13,14,14,0,14,0.021034,0.292102,127.800000
151,12,13,14,14,0,14,0.013097,0.181473,150.400000
152,12,13,14,14,0,14,0.005200,0.070989,139.900000
153,11,13,12,12,0,12,0.002764,0.031497,131.300000
154,12,13,14,14,0,14,0.018743,0.260473,226.000000
155,12,13,14,14,0,14,0.000214,0.001106,130.200000
156,11,13,12,12,0,12,0.032404,0.386701,117.800000
157,11,13,12,12,0,12,0.028384,0.339200,118.600000
158,11,13,12,12,0,12,0.030365,0.363087,131.400000
159,12,13,14,14,0,14,0.046390,0.647320,133.500000
160,12,13,14,14,0,14,0.006933,0.094743,362.400000
161,12,13,14,14,0,14,0.011330,0.157721,127.900000
162,12,13,14,14,0,14,0.009752,0.134109,127.800000
163,11,13,12,12,0,12,0.038282,0.457692,120.700000
164,11,13,14,14,0,14,0.028338,0.394575,130.600000
165,11,13,14,12,2,12,0.023783,0.284091,135.100000
166,8,13,9,9,0,9,0.033498,0.299970,114.500000
167,9,10,11,11,0,11,0.021652,0.236856,111.800000
168,8,10,9,9,0,9,0.046623,0.418197,102.600000
169,8,13,9,9,0,9,0.031736,0.284227,120.000000
170,11,13,12,12,0,12,0.002160,0.023770,168.500000
171,11,13,14,12,2,12,0.033003,0.394718,118.800000
172,11,13,14,12,2,12,0.002156,0.023946,123.900000
173,11,13,14,12,2,12,0.024457,0.291963,118.400000
174,12,13,16,15,1,15,0.040068,0.599946,129.100000
175,12,13,16,16,0,16,0.035682,0.568456,166.800000
176,11,13,14,14,0,14,0.048036,0.670931,126.500000
177,11,13,14,14,0,14,0.001863,0.023519,152.800000
178,11,13,14,14,0,14,0.022128,0.307985,125.000000
179,11,13,14,14,0,14,0.050851,0.710290,127.500000
180,12,13,16,16,0,16,0.027281,0.434078,132.400000
181,12,13,16,14,2,14,0.001276,0.015897,133.900000
182,11,13,14,12,2,12,0.038322,0.457831,284.300000
183,9,13,11,11,0,11,0.010844,0.118502,113.800000
184,8,10,9,9,0,9,0.042276,0.379112,107.900000
185,9,10,11,11,0,11,0.071917,0.789150,138.700000
186,9,10,11,11,0,11,0.034609,0.379117,120.500000
187,8,10,9,9,0,9,0.004545,0.039512,289.300000
188,8,10,9,9,0,9,0.009792,0.086733,115.100000
189,8,13,10,9,1,9,0.065914,0.591933,105.300000
190,12,13,16,16,0,16,0.013950,0.221112,161.000000
191,11,13,14,14,0,14,0.027173,0.378833,125.700000
192,12,13,16,16,0,16,0.012951,0.205232,139.600000
193,11,13,12,12,0,12,0.019177,0.228847,119.300000
194,11,13,14,14,0,14,0.014778,0.205369,125.700000
195,12,13,16,14,2,14,0.044101,0.615691,132.800000
196,8,13,10,10,0,10,0.067188,0.670934,127.400000
197,8,10,9,9,0,9,0.056234,0.505061,158.900000
198,8,10,9,9,0,9,0.039594,0.355077,106.600000
199,8,10,9,9,0,9,0.025577,0.228985,100.800000
