frame_idx,sdk_left_raw_count,sdk_right_raw_count,sdk_fid3d_count,rev_fid3d_count,fid_count_diff,mean_pos_diff_mm,max_pos_diff_mm,mean_epi_diff_px,max_epi_diff_px,mean_reproj_left_diff_px,mean_reproj_right_diff_px,mean_centroid_rt_left_sdk_px,mean_centroid_rt_right_sdk_px,mean_centroid_rt_left_rev_px,mean_centroid_rt_right_rev_px,sdk_marker_count,rev_marker_count,mean_marker_trans_diff_mm,mean_marker_rot_diff_deg,sdk_matchTri_us,rev_matchTri_us,sdk_triangulate_us,rev_triangulate_us,sdk_reproject_us,rev_reproject_us,sdk_marker_us,rev_marker_us,anomaly_count
0,12,13,16,16,0,0.026328,0.418334,0.000043,0.000099,0.000031,0.000037,0.271588,0.270156,0.271577,0.270132,1,1,0.000034,0.000000,0.000000,258.200000,345.900000,44.200000,28.000000,9.300000,0.000000,1755.300000,1
1,12,13,14,14,0,0.007513,0.102758,0.000033,0.000061,0.000034,0.000030,0.152937,0.150826,0.152914,0.150804,1,1,0.000186,0.000000,0.000000,124.500000,33.500000,34.700000,16.000000,7.200000,0.000000,306.000000,1
2,11,13,14,14,0,0.017096,0.236858,0.000030,0.000074,0.000040,0.000030,0.143680,0.140960,0.143669,0.140940,1,1,0.000376,0.000000,0.000000,122.500000,35.300000,35.900000,18.200000,8.000000,0.000000,315.900000,1
3,11,13,14,12,2,0.017590,0.244588,0.000045,0.000092,0.000024,0.000046,0.410574,0.401970,0.410561,0.401956,1,1,0.000386,0.000000,0.000000,148.000000,103.100000,62.700000,89.600000,21.100000,0.000000,561.600000,1
4,11,13,12,12,0,0.047508,0.568314,0.000026,0.000059,0.000034,0.000043,0.104267,0.102512,0.104256,0.102493,1,1,0.000137,0.000000,0.000000,147.600000,90.000000,41.000000,26.500000,10.400000,0.000000,204.400000,1
5,12,13,14,14,0,0.014795,0.205372,0.000021,0.000069,0.000049,0.000028,0.151776,0.149704,0.151760,0.149683,1,1,0.000046,0.000000,0.000000,127.400000,32.600000,45.500000,14.900000,7.300000,0.000000,305.600000,1
6,11,13,12,12,0,0.007380,0.086738,0.000031,0.000077,0.000028,0.000041,0.103490,0.101774,0.103480,0.101751,1,1,0.000131,0.000000,0.000000,135.400000,34.300000,33.500000,14.500000,6.700000,0.000000,203.000000,0
7,11,13,12,12,0,0.044239,0.528821,0.000038,0.000071,0.000030,0.000035,0.105196,0.103409,0.105184,0.103387,1,1,0.000246,0.000000,0.000000,139.700000,33.400000,31.600000,16.800000,7.300000,0.000000,203.800000,1
8,11,13,14,14,0,0.006422,0.087018,0.000024,0.000082,0.000032,0.000039,0.244291,0.244296,0.244262,0.244268,1,1,0.000250,0.009560,0.000000,158.300000,59.600000,47.000000,24.200000,9.800000,0.000000,326.900000,0
9,11,13,14,13,1,0.023252,0.323727,0.000038,0.000072,0.000048,0.000028,0.295646,0.289778,0.295627,0.289772,1,1,0.000186,0.004850,0.000000,309.900000,83.600000,406.600000,40.900000,18.200000,0.000000,526.500000,1
10,11,13,14,14,0,0.000183,0.000492,0.000046,0.000085,0.000034,0.000027,0.211100,0.207347,0.211076,0.207332,1,1,0.000124,0.004978,0.000000,199.700000,67.500000,53.300000,27.100000,11.500000,0.000000,382.000000,0
11,11,13,12,12,0,0.008011,0.094606,0.000022,0.000061,0.000023,0.000050,0.099331,0.097634,0.099316,0.097614,1,1,0.000138,0.000000,0.000000,312.800000,28.000000,29.600000,11.600000,6.200000,0.000000,200.000000,0
12,11,13,13,12,1,0.047022,0.607676,0.000028,0.000058,0.000029,0.000033,0.262615,0.262064,0.262599,0.262041,1,1,0.000374,0.007385,0.000000,118.000000,30.400000,32.300000,13.500000,6.600000,0.000000,200.400000,1
13,11,13,15,15,0,0.001808,0.023761,0.000027,0.000050,0.000029,0.000040,0.153628,0.151265,0.153622,0.151257,1,1,0.000267,0.000000,0.000000,153.400000,35.300000,37.000000,15.700000,8.000000,0.000000,374.700000,0
14,12,13,14,14,0,0.000723,0.008061,0.000034,0.000069,0.000045,0.000029,0.150744,0.148695,0.150728,0.148674,1,1,0.000056,0.000000,0.000000,168.300000,42.700000,36.800000,17.200000,8.100000,0.000000,436.400000,0
15,11,13,12,12,0,0.018583,0.221113,0.000033,0.000086,0.000050,0.000034,0.100906,0.099264,0.100883,0.099249,1,1,0.000151,0.006022,0.000000,121.500000,28.100000,29.600000,13.700000,6.100000,0.000000,200.300000,1
16,11,13,13,12,1,0.015956,0.205230,0.000034,0.000062,0.000031,0.000032,0.248310,0.248227,0.248296,0.248202,1,1,0.000163,0.000000,0.000000,147.800000,29.400000,32.000000,13.700000,6.700000,0.000000,321.000000,1
17,11,13,12,12,0,0.017230,0.205232,0.000022,0.000054,0.000045,0.000043,0.100360,0.098691,0.100340,0.098668,1,1,0.000127,0.007059,0.000000,117.800000,27.400000,29.000000,12.700000,6.100000,0.000000,200.000000,1
18,12,13,14,14,0,0.037920,0.528958,0.000029,0.000093,0.000040,0.000028,0.149667,0.147657,0.149654,0.147641,1,1,0.000258,0.000000,0.000000,128.100000,38.000000,36.300000,17.300000,7.700000,0.000000,321.800000,1
19,11,13,12,12,0,0.016614,0.197222,0.000033,0.000087,0.000020,0.000033,0.100363,0.098666,0.100351,0.098649,1,1,0.000384,0.000000,0.000000,222.900000,40.100000,34.100000,15.400000,7.000000,0.000000,235.700000,1
20,12,13,14,14,0,0.019879,0.276081,0.000028,0.000087,0.000043,0.000033,0.151062,0.149007,0.151036,0.148988,1,1,0.000377,0.010983,0.000000,127.200000,38.800000,142.200000,15.700000,7.300000,0.000000,306.400000,1
21,11,13,14,14,0,0.021597,0.299836,0.000033,0.000058,0.000036,0.000031,0.173621,0.172963,0.173602,0.172943,1,1,0.000247,0.006900,0.000000,124.700000,32.900000,34.900000,14.700000,6.900000,0.000000,316.900000,1
