frame_idx,fid3d_idx,operation,sdk_time_us,rev_time_us,speedup_ratio
0,0,triangulate,302.700,5.000,60.540
0,0,reproject,6.400,1.100,5.818
0,1,triangulate,3.400,2.800,1.214
0,1,reproject,1.600,0.600,2.667
0,2,triangulate,2.900,2.600,1.115
0,2,reproject,1.200,0.500,2.400
0,3,triangulate,2.600,2.400,1.083
0,3,reproject,1.200,0.500,2.400
0,4,triangulate,2.300,2.400,0.958
0,4,reproject,1.300,0.500,2.600
0,5,triangulate,2.600,2.500,1.040
0,5,reproject,1.400,0.500,2.800
0,6,triangulate,2.400,2.400,1.000
0,6,reproject,1.200,0.500,2.400
0,7,triangulate,2.300,2.500,0.920
0,7,reproject,1.400,0.500,2.800
0,8,triangulate,6.300,4.000,1.575
0,8,reproject,2.000,0.700,2.857
0,9,triangulate,2.600,2.600,1.000
0,9,reproject,3.400,1.000,3.400
0,10,triangulate,5.200,2.900,1.793
0,10,reproject,2.200,0.700,3.143
0,11,triangulate,2.700,2.600,1.038
0,11,reproject,1.000,0.500,2.000
0,12,triangulate,1.900,2.400,0.792
0,12,reproject,0.900,0.400,2.250
0,13,triangulate,2.000,2.400,0.833
0,13,reproject,1.100,0.400,2.750
0,14,triangulate,2.000,2.300,0.870
0,14,reproject,0.900,0.400,2.250
0,15,triangulate,2.000,2.400,0.833
0,15,reproject,0.800,0.500,1.600
1,0,triangulate,5.300,3.200,1.656
1,0,reproject,1.700,0.900,1.889
1,1,triangulate,3.400,2.600,1.308
1,1,reproject,1.200,0.500,2.400
1,2,triangulate,2.000,2.400,0.833
1,2,reproject,1.800,0.500,3.600
1,3,triangulate,2.200,2.700,0.815
1,3,reproject,1.000,0.500,2.000
1,4,triangulate,2.100,2.500,0.840
1,4,reproject,1.000,0.500,2.000
1,5,triangulate,2.000,2.400,0.833
1,5,reproject,0.900,0.500,1.800
1,6,triangulate,2.200,2.400,0.917
1,6,reproject,1.100,0.500,2.200
1,7,triangulate,1.900,2.300,0.826
1,7,reproject,1.000,0.400,2.500
1,8,triangulate,2.000,2.300,0.870
1,8,reproject,1.500,0.500,3.000
1,9,triangulate,2.300,2.500,0.920
1,9,reproject,0.900,0.500,1.800
1,10,triangulate,1.900,2.300,0.826
1,10,reproject,1.100,0.500,2.200
1,11,triangulate,2.300,2.400,0.958
1,11,reproject,0.900,0.400,2.250
1,12,triangulate,1.900,2.300,0.826
1,12,reproject,0.900,0.500,1.800
1,13,triangulate,2.000,2.400,0.833
1,13,reproject,1.000,0.500,2.000
