frame_idx,fid3d_idx,pos_x_mm,pos_y_mm,pos_z_mm,leftIndex,rightIndex,epipolarError_pixels,triangulationError_mm,probability,status_bits
0,0,177.159058,68.816650,1914.045898,11,12,0.010034,0.008265,1.000000,0
0,1,-188.083817,31.612083,1757.437500,10,11,0.101660,0.080376,1.000000,0
0,2,99.000954,22.211411,1727.515015,9,10,0.070998,0.053361,1.000000,0
0,3,73.021408,4.808071,1693.749878,8,9,0.112093,0.082896,1.000000,0
0,4,77.772202,-4.774701,896.991577,7,8,1.602405,0.636546,0.500000,64
0,5,162.614944,-10.585693,1875.541260,7,7,0.156519,0.126673,0.500000,0
0,6,-248.192123,-8.418986,1708.624023,6,8,0.102467,0.079443,0.500000,0
0,7,13341.867188,482.645721,-91822.500000,6,7,-1.382887,56.652733,0.500000,96
0,8,-15.499673,-38.880478,1667.948486,5,5,0.066747,0.049153,1.000000,0
0,9,-161.984818,-54.487312,1729.695679,4,4,0.125253,0.097208,1.000000,0
0,10,-513.818359,-148.064926,1936.053589,3,3,0.104520,0.093527,1.000000,0
0,11,-558.221313,-178.446198,1891.444580,2,2,0.075993,0.066776,1.000000,0
0,12,-472.488556,-192.831223,1933.343994,1,1,0.066761,0.059313,1.000000,0
0,13,-511.495941,-223.908218,1890.466064,0,0,0.082271,0.071742,1.000000,0
1,0,177.155762,68.809509,1914.055786,10,12,0.023877,0.019672,1.000000,0
1,1,-188.086548,31.609352,1757.432495,9,11,0.107662,0.085121,1.000000,0
1,2,45.715961,0.792259,1667.739380,8,10,0.129915,0.094952,0.500000,0
1,3,50.361149,-0.031753,1837.100342,8,9,-2.122167,1.704349,0.500000,0
1,4,71.941795,-0.039949,1554.047363,7,10,2.346543,1.594941,0.500000,0
1,5,78.686455,-0.878909,1699.826538,7,9,0.099934,0.074113,0.500000,0
1,6,-54.094879,-5.410398,1647.443604,6,8,0.129638,0.094803,0.500000,0
1,7,-38.996021,-4.899323,1187.729736,6,7,-3.621367,1.929017,0.500000,0
1,8,-417.847595,-11.735345,2876.714355,5,8,3.896132,5.034091,0.333333,64
1,9,-248.203293,-8.423897,1708.646973,5,7,0.106612,0.082658,0.333333,0
1,10,13346.995117,483.088043,-91855.023438,5,6,-1.379295,56.523270,0.333333,96
1,11,-161.989059,-54.486885,1729.698120,4,4,0.116367,0.090312,1.000000,0
1,12,-513.818237,-148.071503,1936.042114,3,3,0.097295,0.087063,1.000000,0
1,13,-558.235962,-178.452621,1891.476196,2,2,0.068730,0.060399,1.000000,0
1,14,-472.481262,-192.837555,1933.342407,1,1,0.066762,0.059314,1.000000,0
1,15,-511.520325,-223.915833,1890.537476,0,0,0.068966,0.060151,1.000000,0
2,0,177.167389,68.811546,1914.064331,10,12,0.022169,0.018265,1.000000,0
2,1,-188.073959,31.608292,1757.455811,9,11,0.108095,0.085465,1.000000,0
2,2,94.838150,3.750244,1720.785767,8,10,0.074545,0.055844,1.000000,0
2,3,-248.186996,-8.422293,1708.649536,7,9,0.107472,0.083325,0.333333,0
2,4,13350.234375,483.078918,-91883.648438,7,8,-1.374833,56.354824,0.333333,96
2,5,-882.138733,-31.794666,6073.189453,7,7,-1.264316,3.421174,0.333333,64
2,6,38.388691,-5.252282,995.075745,6,9,1.449786,0.642154,0.333333,0
2,7,91.779396,-13.323482,2379.050293,6,8,0.002801,0.002892,0.333333,0
2,8,65.128708,-9.417761,1688.226929,6,7,0.102735,0.075806,0.333333,0
2,9,-29.737841,-40.069984,1666.496216,5,5,0.080122,0.059054,1.000000,0
2,10,-161.970856,-54.488918,1729.686157,4,4,0.117338,0.091064,1.000000,0
2,11,-513.790833,-148.068771,1936.014282,3,3,0.104835,0.093807,1.000000,0
2,12,-558.220154,-178.450043,1891.483154,2,2,0.072034,0.063300,1.000000,0
2,13,-472.483765,-192.838837,1933.362671,1,1,0.069386,0.061644,1.000000,0
2,14,-511.495544,-223.912918,1890.510986,0,0,0.079815,0.069604,1.000000,0
3,0,177.162689,68.813896,1914.062012,11,12,0.017614,0.014512,1.000000,0
3,1,93.492218,40.230473,1730.044556,10,11,0.093520,0.070423,1.000000,0
3,2,-188.077408,31.608372,1757.444946,9,10,0.102138,0.080754,1.000000,0
3,3,69.064095,22.502645,1695.359497,8,9,0.118076,0.087438,1.000000,0
3,4,77.777191,-4.777647,896.994385,7,8,1.600814,0.635915,0.500000,64
3,5,162.622910,-10.586074,1875.518799,7,7,0.168779,0.136594,0.500000,0
3,6,-248.204773,-8.427076,1708.685303,6,8,0.106214,0.082351,0.500000,0
3,7,13334.495117,482.511932,-91771.078125,6,7,-1.365149,55.880852,0.500000,96
3,8,-17.483902,-23.059866,1666.267212,5,5,0.099828,0.073469,1.000000,0
3,9,-161.980225,-54.489414,1729.705811,4,4,0.119483,0.092731,1.000000,0
3,10,-513.828369,-148.075729,1936.113159,3,3,0.099603,0.089131,1.000000,0
3,11,-558.193665,-178.450607,1891.403687,2,2,0.080837,0.071029,1.000000,0
3,12,-472.468018,-192.845169,1933.330078,1,1,0.086783,0.077089,1.000000,0
3,13,-511.501373,-223.913956,1890.511963,0,0,0.077942,0.067972,1.000000,0
4,0,177.155151,68.811714,1914.059448,11,12,0.019775,0.016292,1.000000,0
4,1,-188.086761,31.610975,1757.452148,10,11,0.107511,0.085003,1.000000,0
4,2,77.768509,-4.775496,897.003174,9,10,1.608221,0.638865,0.500000,64
4,3,162.607437,-10.588089,1875.568115,9,9,0.160732,0.130085,0.500000,0
4,4,-248.196655,-8.421253,1708.640015,8,10,0.110232,0.085464,0.500000,0
4,5,13346.185547,482.952179,-91851.632812,8,9,-1.376674,56.411728,0.500000,96
4,6,-195.055527,-66.366653,5689.593750,7,8,2.879678,7.137551,0.500000,64
4,7,-56.471241,-20.209726,1646.707031,7,7,0.085412,0.062449,0.500000,0
4,8,42.989635,-24.402363,1669.084595,6,6,0.122413,0.089560,1.000000,0
4,9,74.911148,-30.696047,1701.638672,5,5,0.095570,0.070973,1.000000,0
4,10,-161.986237,-54.487274,1729.685425,4,4,0.118561,0.092014,1.000000,0
4,11,-513.833984,-148.071335,1936.083130,3,3,0.102093,0.091357,1.000000,0
4,12,-558.218384,-178.446457,1891.435181,2,2,0.084434,0.074190,1.000000,0
4,13,-472.493988,-192.839920,1933.343506,1,1,0.075292,0.066888,1.000000,0
4,14,-511.515411,-223.914932,1890.516357,0,0,0.080140,0.069887,1.000000,0
