# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,6,-54.094879,-5.410398,1647.443604,6,963.965576,529.368469,371,22,22,8,846.303467,516.739380,405,23,23,0.129638,0.094803,0.500000
0,1,2,45.715961,0.792259,1667.739380,8,1101.328491,537.940735,361,21,22,10,985.454163,524.735413,403,23,23,0.129915,0.094952,0.500000
0,2,5,78.686455,-0.878909,1699.826538,7,1144.363403,535.693909,333,20,21,9,1038.491821,522.260742,374,21,22,0.099934,0.074113,0.500000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,177.155762,68.809509,1914.055786,10,1249.719727,618.831909,12,1208.153442,606.183594,0.023877,0.019672,1.000000
1,-188.086548,31.609352,1757.432495,9,795.034119,577.844910,11,723.482117,564.423706,0.107662,0.085121,1.000000
2,45.715961,0.792259,1667.739380,8,1101.328491,537.940735,10,985.454163,524.735413,0.129915,0.094952,0.500000
3,50.361149,-0.031753,1837.100342,8,1101.328491,537.940735,9,1038.491821,522.260742,-2.122167,1.704349,0.500000
4,71.941795,-0.039949,1554.047363,7,1144.363403,535.693909,10,985.454163,524.735413,2.346543,1.594941,0.500000
5,78.686455,-0.878909,1699.826538,7,1144.363403,535.693909,9,1038.491821,522.260742,0.099934,0.074113,0.500000
6,-54.094879,-5.410398,1647.443604,6,963.965576,529.368469,8,846.303467,516.739380,0.129638,0.094803,0.500000
7,-38.996021,-4.899323,1187.729736,6,963.965576,529.368469,7,628.924133,514.010803,-3.621367,1.929017,0.500000
8,-417.847595,-11.735345,2876.714355,5,708.164917,525.645264,8,846.303467,516.739380,3.896132,5.034091,0.333333
9,-248.203293,-8.423897,1708.646973,5,708.164917,525.645264,7,628.924133,514.010803,0.106612,0.082658,0.333333
10,13346.995117,483.088043,-91855.023438,5,708.164917,525.645264,6,1183.824463,509.851196,-1.379295,56.523270,0.333333
11,-161.989059,-54.486885,1729.698120,4,825.462524,465.086456,4,742.901917,454.383301,0.116367,0.090312,1.000000
12,-513.818237,-148.071503,1936.042114,3,436.967590,363.406311,3,447.502014,361.222504,0.097295,0.087063,1.000000
13,-558.235962,-178.452621,1891.476196,2,370.303040,323.148987,2,378.838745,324.610138,0.068730,0.060399,1.000000
14,-472.481262,-192.837555,1933.342407,1,484.389679,310.568848,1,488.377014,310.166290,0.066762,0.059314,1.000000
15,-511.520325,-223.915833,1890.537476,0,425.638428,268.426331,0,426.459686,271.774841,0.068966,0.060151,1.000000
