# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,7,-37.025024,-20.021486,1650.716064,5,987.688538,509.216492,347,20,22,5,869.922974,496.663696,393,22,23,0.096519,0.070564,0.500000
0,1,3,56.706577,-1.508627,1686.575684,7,1115.486572,534.835205,334,19,22,9,1005.692444,521.515320,384,22,23,0.095456,0.070442,1.000000
0,2,2,83.496025,3.461777,1723.659668,8,1149.263916,541.456360,311,19,21,10,1051.189087,527.998779,359,21,22,0.091341,0.068634,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,177.146210,68.817268,1914.043579,10,1249.709717,618.845520,12,1208.140015,606.189575,0.016031,0.013207,1.000000
1,-188.092651,31.606794,1757.430054,9,795.025879,577.844055,11,723.473816,564.418152,0.102978,0.081418,1.000000
2,83.496025,3.461777,1723.659668,8,1149.263916,541.456360,10,1051.189087,527.998779,0.091341,0.068634,1.000000
3,56.706577,-1.508627,1686.575684,7,1115.486572,534.835205,9,1005.692444,521.515320,0.095456,0.070442,1.000000
4,-248.209198,-8.426487,1708.655640,6,708.158691,525.641296,8,628.921143,514.008118,0.107765,0.083552,0.500000
5,13343.497070,482.990540,-91829.476562,6,708.158691,525.641296,7,1183.822998,509.853333,-1.373182,56.252216,0.500000
6,-110.099716,-56.916473,4910.233398,5,987.688538,509.216492,6,1255.391235,497.007233,2.569466,5.489144,0.500000
7,-37.025024,-20.021486,1650.716064,5,987.688538,509.216492,5,869.922974,496.663696,0.096519,0.070564,0.500000
8,-161.998398,-54.488861,1729.711792,4,825.451904,465.082123,4,742.896301,454.383636,0.120869,0.093806,1.000000
9,-513.835876,-148.075867,1936.075317,3,436.957275,363.401611,3,447.500793,361.223022,0.102222,0.091472,1.000000
10,-558.255188,-178.453293,1891.497803,2,370.287628,323.137482,2,378.831268,324.624359,0.093738,0.082364,1.000000
11,-472.516907,-192.853165,1933.411987,1,484.367981,310.557037,1,488.374207,310.158508,0.070045,0.062231,1.000000
12,-511.516998,-223.912933,1890.492432,0,425.627838,268.417816,0,426.439789,271.777924,0.079717,0.069518,1.000000
