# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,2,-26.856018,15.173493,1701.306030,10,1002.836365,557.217041,324,20,21,10,901.481506,544.111633,365,21,22,0.084113,0.063245,1.000000
0,1,3,67.957245,-5.082712,1733.106201,9,1128.224854,530.191467,306,19,21,9,1033.402466,516.764893,354,21,21,0.088584,0.067049,0.500000
0,2,13,94.706253,-19.777592,1767.589966,5,1160.969849,511.371552,279,18,20,5,1076.527710,497.610718,332,21,21,0.084160,0.064737,0.500000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.650253,69.229912,1914.003906,12,1247.930542,619.344299,12,1206.255981,606.705750,0.001741,0.001431,1.000000
1,-189.210922,31.785019,1757.354980,11,793.574036,578.082581,11,722.040588,564.669067,0.088945,0.070331,1.000000
2,-26.856018,15.173493,1701.306030,10,1002.836365,557.217041,10,901.481506,544.111633,0.084113,0.063245,1.000000
3,67.957245,-5.082712,1733.106201,9,1128.224854,530.191467,9,1033.402466,516.764893,0.088584,0.067049,0.500000
4,38.904701,-3.872815,992.082764,9,1128.224854,530.191467,8,627.439209,514.278809,-4.275780,1.888259,0.500000
5,77.134117,-4.640259,897.065308,8,1234.779297,524.441162,8,627.439209,514.278809,1.372317,0.545283,0.500000
6,161.260864,-10.214689,1875.461426,8,1234.779297,524.441162,7,1182.089355,510.344208,0.139704,0.113080,0.500000
7,-998.444397,-26.212946,6843.982910,7,706.679932,525.911255,9,1033.402466,516.764893,4.526068,13.799625,0.333333
8,-249.294724,-8.234662,1708.425659,7,706.679932,525.911255,8,627.439209,514.278809,0.077842,0.060354,0.333333
9,13705.300781,478.952576,-93902.468750,7,706.679932,525.911255,7,1182.089355,510.344208,-1.188820,49.709248,0.333333
10,210.298721,-21.104557,1957.926514,6,1283.527954,512.276306,6,1253.642578,497.618011,0.180451,0.151630,0.500000
11,155.366425,-15.888222,1446.488281,6,1283.527954,512.276306,5,1076.527710,497.610718,-0.768356,0.480894,0.500000
12,139.484070,-28.591721,2603.298828,5,1160.969849,511.371552,6,1253.642578,497.618011,1.039968,1.168543,0.500000
13,94.706253,-19.777592,1767.589966,5,1160.969849,511.371552,5,1076.527710,497.610718,0.084160,0.064737,0.500000
14,-163.106339,-54.328140,1729.527588,4,823.976440,465.310242,4,741.400757,454.611633,0.078546,0.060965,1.000000
15,-515.090393,-147.869736,1935.815918,3,435.433228,363.641998,3,446.033661,361.484192,0.075188,0.067290,1.000000
16,-559.442261,-178.240463,1891.119141,2,368.761627,323.387756,2,377.348175,324.872406,0.040190,0.035331,1.000000
17,-473.748535,-192.644958,1933.088989,1,482.853210,310.791504,1,486.888885,310.414612,0.035733,0.031765,1.000000
18,-512.790588,-223.725647,1890.312744,0,424.069122,268.638184,0,424.964294,272.041626,0.062283,0.054329,1.000000
