# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,7,-33.526676,-20.622034,1650.685913,5,992.519348,508.381836,384,22,23,5,874.516663,495.817749,420,23,23,0.105152,0.076841,0.500000
0,1,3,63.980373,7.589256,1661.007080,7,1126.648682,547.289978,377,22,22,9,1007.905090,534.011292,427,23,24,0.101752,0.073903,1.000000
0,2,2,98.054718,18.648384,1689.952148,8,1171.095825,562.032471,356,21,22,10,1061.656372,548.717957,398,23,23,0.096413,0.070919,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,177.152573,68.814575,1914.074463,10,1249.713867,618.841614,12,1208.152466,606.184387,0.014825,0.012213,1.000000
1,-188.087570,31.613466,1757.453247,9,795.035645,577.852722,11,723.489746,564.425476,0.101821,0.080505,1.000000
2,98.054718,18.648384,1689.952148,8,1171.095825,562.032471,10,1061.656372,548.717957,0.096413,0.070919,1.000000
3,63.980373,7.589256,1661.007080,7,1126.648682,547.289978,9,1007.905090,534.011292,0.101752,0.073903,1.000000
4,-248.196152,-8.420782,1708.639771,6,708.172974,525.650940,8,628.929260,514.013184,0.103541,0.080277,0.500000
5,13350.166016,482.864655,-91879.328125,6,708.172974,525.650940,7,1183.831299,509.862793,-1.373306,56.288441,0.500000
6,-97.281784,-56.431793,4792.576660,5,992.519348,508.381836,6,1255.400635,497.003265,3.409185,7.107322,0.500000
7,-33.526676,-20.622034,1650.685913,5,992.519348,508.381836,5,874.516663,495.817749,0.105152,0.076841,0.500000
8,-161.989624,-54.769257,1729.719116,4,825.464172,465.084625,4,742.905396,453.660522,-0.605745,0.470077,1.000000
9,-513.799866,-148.064590,1936.011108,3,436.979370,363.410492,3,447.505188,361.228424,0.099361,0.088910,1.000000
10,-558.228271,-178.450699,1891.465332,2,370.308258,323.144714,2,378.840912,324.616089,0.078837,0.069275,1.000000
11,-472.519714,-192.840607,1933.420898,1,484.367188,310.571869,1,488.375732,310.174347,0.071825,0.063812,1.000000
12,-511.517395,-223.912598,1890.528687,0,425.639099,268.431152,0,426.458038,271.775269,0.064783,0.056505,1.000000
