# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,5,-52.751637,6.655918,1650.896118,6,965.976624,546.060608,382,22,22,8,849.460876,533.190308,396,23,22,0.108363,0.079393,1.000000
0,1,2,48.990871,14.063381,1652.296631,8,1106.430664,556.261902,374,22,22,10,985.131348,543.085632,397,23,22,0.137578,0.099596,0.500000
0,2,4,87.578415,10.593117,1677.011108,7,1157.881958,551.276489,349,21,21,9,1044.152344,537.921875,385,22,22,0.096181,0.070309,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,177.155838,68.809006,1914.046387,10,1249.720825,618.834717,12,1208.152100,606.180420,0.017803,0.014667,1.000000
1,-188.087646,31.604359,1757.455322,9,795.035889,577.840149,11,723.490479,564.414673,0.103233,0.081621,1.000000
2,48.990871,14.063381,1652.296631,8,1106.430664,556.261902,10,985.131348,543.085632,0.137578,0.099596,0.500000
3,54.542416,13.656861,1839.055908,8,1106.430664,556.261902,9,1044.152344,537.921875,-4.829981,3.881326,0.500000
4,87.578415,10.593117,1677.011108,7,1157.881958,551.276489,9,1044.152344,537.921875,0.096181,0.070309,1.000000
5,-52.751637,6.655918,1650.896118,6,965.976624,546.060608,8,849.460876,533.190308,0.108363,0.079393,1.000000
6,-248.197418,-8.430561,1708.649658,5,708.173218,525.634583,7,628.932495,514.003967,0.110155,0.085405,0.500000
7,13348.611328,483.323029,-91868.968750,5,708.173218,525.634583,6,1183.834717,509.853790,-1.366009,55.977455,0.500000
8,-161.992401,-54.491085,1729.732788,4,825.462341,465.081635,4,742.912476,454.379944,0.117786,0.091415,1.000000
9,-513.816833,-148.080276,1936.057617,3,436.974060,363.401886,3,447.511078,361.209686,0.088756,0.079425,1.000000
10,-558.250122,-178.460510,1891.509521,2,370.297943,323.140350,2,378.842468,324.607605,0.074405,0.065384,1.000000
11,-472.495483,-192.852509,1933.364258,1,484.379395,310.556488,1,488.372894,310.149750,0.061823,0.054930,1.000000
12,-511.524109,-223.925598,1890.557495,0,425.640381,268.416138,0,426.466278,271.767609,0.071541,0.062395,1.000000
