# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,8,-20.841158,-27.038315,1653.264526,5,1010.085876,499.575714,336,20,21,5,892.166809,486.975311,371,22,22,0.105988,0.077441,1.000000
0,1,5,69.702072,-1.902950,1693.079468,7,1132.688965,534.313721,314,20,21,9,1024.746460,520.917908,359,22,21,0.092408,0.068341,0.500000
0,2,2,96.316422,-0.781208,1730.599243,8,1165.703247,535.854797,290,19,20,10,1069.669678,522.282593,335,21,20,0.077876,0.058657,0.500000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,177.150146,68.821213,1914.082520,10,1249.710083,618.850281,12,1208.150879,606.190918,0.012468,0.010270,1.000000
1,-188.085342,31.612837,1757.426758,9,795.034851,577.851746,11,723.481140,564.426086,0.103408,0.081758,1.000000
2,96.316422,-0.781208,1730.599243,8,1165.703247,535.854797,10,1069.669678,522.282593,0.077876,0.058657,0.500000
3,89.140610,-1.266922,1601.649536,8,1165.703247,535.854797,9,1024.746460,520.917908,-1.479596,1.033562,0.500000
4,75.672714,-1.440729,1838.047241,7,1132.688965,534.313721,10,1069.669678,522.282593,1.653160,1.324518,0.500000
5,69.702072,-1.902950,1693.079468,7,1132.688965,534.313721,9,1024.746460,520.917908,0.092408,0.068341,0.500000
6,-248.186020,-8.423626,1708.605347,6,708.179810,525.636780,8,628.924805,514.019165,0.123153,0.095480,0.500000
7,13361.083984,483.682373,-91956.648438,6,708.179810,525.636780,7,1183.831299,509.856598,-1.365437,56.007942,0.500000
8,-20.841158,-27.038315,1653.264526,5,1010.085876,499.575714,5,892.166809,486.975311,0.105988,0.077441,1.000000
9,-161.938934,-54.402645,1729.162598,4,825.462341,465.085907,4,742.738464,454.558502,0.291015,0.225778,1.000000
10,-513.826904,-148.064636,1936.062988,3,436.963959,363.418365,3,447.503662,361.229828,0.093184,0.083387,1.000000
11,-558.222351,-178.447357,1891.448242,2,370.309265,323.143158,2,378.837830,324.621490,0.085707,0.075308,1.000000
12,-472.498291,-192.838348,1933.372192,1,484.378265,310.568481,1,488.374023,310.171692,0.072440,0.064356,1.000000
13,-511.528931,-223.914734,1890.551514,0,425.632599,268.424072,0,426.458344,271.783325,0.079598,0.069416,1.000000
