# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,2,-30.632692,16.202066,1697.817139,9,997.690979,558.637146,309,20,20,10,895.417358,545.536194,345,21,21,0.090004,0.067570,1.000000
0,1,3,66.891869,9.397280,1727.174072,8,1127.125488,549.276367,290,20,19,9,1030.481445,535.955200,333,21,20,0.104054,0.078503,1.000000
0,2,4,96.615349,-5.239680,1759.033936,7,1164.037598,530.103821,262,18,18,8,1076.969116,516.461914,310,20,19,0.055955,0.042829,0.500000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.636734,69.226746,1914.026855,11,1247.911987,619.340210,12,1206.243286,606.700134,0.000313,0.000255,1.000000
1,-189.222809,31.787455,1757.344971,10,793.557251,578.085388,11,722.022095,564.672913,0.090065,0.071216,1.000000
2,-30.632692,16.202066,1697.817139,9,997.690979,558.637146,10,895.417358,545.536194,0.090004,0.067570,1.000000
3,66.891869,9.397280,1727.174072,8,1127.125488,549.276367,9,1030.481445,535.955200,0.104054,0.078503,1.000000
4,96.615349,-5.239680,1759.033936,7,1164.037598,530.103821,8,1076.969116,516.461914,0.055955,0.042829,0.500000
5,52.620216,-3.761600,957.968628,7,1164.037598,530.103821,7,627.417786,514.273315,-4.211235,1.792828,0.500000
6,77.126335,-4.642883,897.061951,6,1234.760254,524.433472,7,627.417786,514.273315,1.374358,0.546093,0.500000
7,161.244934,-10.221561,1875.458618,6,1234.760254,524.433472,6,1182.069336,510.335175,0.138423,0.112044,0.500000
8,-1457.412476,-38.501854,9990.131836,5,706.652832,525.908081,8,1076.969116,516.461914,4.433924,19.704279,0.333333
9,-249.316635,-8.238092,1708.435913,5,706.652832,525.908081,7,627.417786,514.273315,0.075319,0.058399,0.333333
10,13695.524414,478.826538,-93827.617188,5,706.652832,525.908081,6,1182.069336,510.335175,-1.194784,49.921928,0.333333
11,-163.120102,-54.326252,1729.508789,4,823.955994,465.310211,4,741.376038,454.615265,0.081995,0.063642,1.000000
12,-515.119690,-147.875656,1935.847168,3,435.408905,363.639191,3,446.019562,361.479431,0.072742,0.065103,1.000000
13,-559.475281,-178.245636,1891.154297,2,368.734650,323.374756,2,377.333832,324.880981,0.060767,0.053405,1.000000
14,-473.796661,-192.646805,1933.162354,1,482.818024,310.791351,1,486.875305,310.427582,0.048468,0.043074,1.000000
15,-512.803894,-223.727936,1890.306641,0,424.051483,268.642273,0,424.946991,272.031525,0.047719,0.041636,1.000000
