# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,1,45.676472,80.221336,1678.686279,11,1100.855103,645.835022,350,20,22,12,989.065063,632.666687,399,22,23,0.073762,0.054199,1.000000
0,1,9,53.781223,-19.767342,1660.167969,6,1112.686768,509.731873,355,21,22,6,993.754333,496.439850,404,23,23,0.082430,0.059915,0.500000
0,2,11,46.809883,-62.544346,1675.582520,4,1102.517456,451.800812,334,20,22,4,988.940552,438.438080,385,22,23,0.034833,0.025562,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,-229.465393,222.315689,1217.292236,12,611.137451,951.349487,13,336.336243,917.758484,0.028171,0.015635,1.000000
1,45.676472,80.221336,1678.686279,11,1100.855103,645.835022,12,989.065063,632.666687,0.073762,0.054199,1.000000
2,175.637238,69.232750,1914.029297,10,1247.912231,619.335999,11,1206.244385,606.718811,0.023288,0.019190,1.000000
3,-189.224945,31.788092,1757.345459,9,793.554626,578.087341,10,722.019836,564.672607,0.087923,0.069522,1.000000
4,77.123100,-4.638800,897.064270,8,1234.751587,524.451050,9,627.412292,514.276489,1.360123,0.540439,0.500000
5,161.241974,-10.210736,1875.507324,8,1234.751587,524.451050,8,1182.074219,510.344666,0.130062,0.105279,0.500000
6,-249.311874,-8.233674,1708.412842,7,706.654663,525.916260,9,627.412292,514.276489,0.070579,0.054723,0.500000
7,13691.946289,478.338287,-93803.679688,7,706.654663,525.916260,8,1182.074219,510.344666,-1.193401,49.850361,0.500000
8,96.907425,-33.924446,2991.023193,6,1112.686768,509.731873,7,1253.626953,497.632538,2.694287,3.486145,0.500000
9,53.781223,-19.767342,1660.167969,6,1112.686768,509.731873,6,993.754333,496.439850,0.082430,0.059915,0.500000
10,-163.121460,-54.322945,1729.509155,5,823.954224,465.314545,5,741.374573,454.619598,0.082089,0.063715,1.000000
11,46.809883,-62.544346,1675.582520,4,1102.517456,451.800812,4,988.940552,438.438080,0.034833,0.025562,1.000000
12,-515.123718,-147.877975,1935.854858,3,435.406738,363.643616,3,446.019196,361.471405,0.060457,0.054112,1.000000
13,-559.478882,-178.245850,1891.164062,2,368.733795,323.379852,2,377.335236,324.877747,0.052685,0.046307,1.000000
14,-473.790588,-192.642548,1933.143433,1,482.819794,310.803375,1,486.872070,310.421478,0.030806,0.027391,1.000000
15,-512.811768,-223.725967,1890.341431,0,424.053284,268.649139,0,424.957001,272.038574,0.048494,0.042312,1.000000
