# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,1,52.340599,41.060890,1715.166748,10,1108.401001,591.456360,246,15,21,11,1008.374512,578.275269,323,19,22,0.103265,0.077493,1.000000
0,1,7,23.528660,-17.108721,1636.437378,6,1071.610840,513.026428,258,15,22,7,945.478333,500.044128,339,19,22,0.111253,0.080042,0.500000
0,2,9,-7.994623,-45.887798,1619.152344,5,1027.571655,472.259735,255,15,22,5,896.725281,459.817413,334,19,22,0.081223,0.058050,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.651321,69.250778,1914.048462,11,1247.926880,619.360840,12,1206.264404,606.735596,0.014731,0.012137,1.000000
1,52.340599,41.060890,1715.166748,10,1108.401001,591.456360,11,1008.374512,578.275269,0.103265,0.077493,1.000000
2,-189.200867,31.790215,1757.327637,9,793.583252,578.083069,10,722.041016,564.682922,0.102364,0.080940,1.000000
3,77.134979,-4.633744,897.062622,8,1234.782104,524.469910,9,627.438721,514.283081,1.348104,0.535661,0.500000
4,161.265793,-10.194580,1875.492065,8,1234.782104,524.469910,8,1182.100830,510.365021,0.131363,0.106331,0.500000
5,-249.303741,-8.231689,1708.447021,7,706.672119,525.915100,9,627.438721,514.283081,0.078429,0.060810,0.500000
6,13685.664062,477.747131,-93766.328125,7,706.672119,525.915100,8,1182.100830,510.365021,-1.171708,48.911739,0.500000
7,23.528660,-17.108721,1636.437378,6,1071.610840,513.026428,7,945.478333,500.044128,0.111253,0.080042,0.500000
8,49.257065,-36.375168,3425.777100,6,1071.610840,513.026428,6,1253.654053,497.652039,-0.640296,0.950678,0.500000
9,-7.994623,-45.887798,1619.152344,5,1027.571655,472.259735,5,896.725281,459.817413,0.081223,0.058050,1.000000
10,-163.098526,-54.317532,1729.522095,4,823.986023,465.323669,4,741.408020,454.625275,0.079173,0.061452,1.000000
11,-515.097595,-147.874451,1935.847778,3,435.434784,363.645172,3,446.042206,361.475952,0.063995,0.057277,1.000000
12,-559.445557,-178.240997,1891.121948,2,368.758606,323.382507,2,377.346466,324.876801,0.049567,0.043567,1.000000
13,-473.755615,-192.638809,1933.112061,1,482.851501,310.799866,1,486.892853,310.425446,0.038723,0.034420,1.000000
14,-512.790222,-223.721588,1890.319092,0,424.071625,268.650482,0,424.967651,272.040771,0.049779,0.043431,1.000000
