# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,8,54.001972,2.498499,1715.682251,7,1110.591064,540.206604,329,20,21,8,1010.505249,526.882080,369,21,22,0.072959,0.054770,0.500000
0,1,2,-29.838242,8.567551,1657.849609,9,997.791626,548.654480,352,21,22,10,882.091492,535.699768,391,22,22,0.103064,0.075603,0.500000
0,2,5,-75.736389,5.454637,1655.975952,8,934.566833,544.378174,352,21,21,9,821.395996,531.631470,385,23,22,0.106926,0.078800,0.333333
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.642548,69.251854,1914.025146,11,1247.919189,619.363037,12,1206.253662,606.736511,0.015070,0.012417,1.000000
1,-189.211838,31.788534,1757.324707,10,793.568420,578.085327,11,722.029602,564.674988,0.093927,0.074269,1.000000
2,-29.838242,8.567551,1657.849609,9,997.791626,548.654480,10,882.091492,535.699768,0.103064,0.075603,0.500000
3,-26.942825,6.312382,1497.389404,9,997.791626,548.654480,9,821.395996,531.631470,-4.189210,2.783579,0.500000
4,-84.816338,7.881299,1854.889160,8,934.566833,544.378174,10,882.091492,535.699768,4.411447,3.631338,0.333333
5,-75.736389,5.454637,1655.975952,8,934.566833,544.378174,9,821.395996,531.631470,0.106926,0.078800,0.333333
6,-113.377403,5.970335,2479.423340,8,934.566833,544.378174,8,1010.505249,526.882080,-3.908973,4.275495,0.333333
7,40.264759,2.986558,1279.006470,7,1110.591064,540.206604,9,821.395996,531.631470,4.053822,2.288830,0.500000
8,54.001972,2.498499,1715.682251,7,1110.591064,540.206604,8,1010.505249,526.882080,0.072959,0.054770,0.500000
9,77.130898,-4.630860,897.047729,6,1234.775146,524.475220,7,627.418030,514.290283,1.351704,0.537082,0.500000
10,161.256577,-10.192563,1875.453125,6,1234.775146,524.475220,6,1182.086304,510.362518,0.125020,0.101195,0.500000
11,-249.301529,-8.227882,1708.392822,5,706.664246,525.915405,7,627.418030,514.290283,0.086956,0.067419,0.500000
12,13699.364258,478.227661,-93857.984375,5,706.664246,525.915405,6,1182.086304,510.362518,-1.172995,49.014751,0.500000
13,-163.112427,-54.312611,1729.518311,4,823.967041,465.330658,4,741.392456,454.629150,0.077724,0.060327,1.000000
14,-515.086914,-147.867416,1935.779663,3,435.425507,363.639252,3,446.021820,361.483978,0.079092,0.070781,1.000000
15,-559.454407,-178.228561,1891.107056,2,368.742310,323.403351,2,377.331787,324.880341,0.034741,0.030546,1.000000
16,-473.776947,-192.637711,1933.125610,1,482.829987,310.800842,1,486.880402,310.428284,0.041948,0.037284,1.000000
17,-512.791809,-223.716156,1890.293945,0,424.061157,268.657288,0,424.955475,272.038086,0.041942,0.036601,1.000000
