# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,5,56.445534,-1.761462,1750.080444,9,1112.363770,534.591736,308,21,19,9,1023.225281,521.198669,328,22,19,0.071591,0.054784,0.500000
0,1,2,-33.468155,1.487576,1701.939331,10,993.992188,538.870972,323,22,20,10,893.155579,525.942932,346,22,20,0.088072,0.066302,0.500000
0,2,14,-77.891701,-10.604486,1702.297607,6,934.518127,522.681152,315,21,19,6,836.621826,510.156342,337,22,20,0.076126,0.057629,0.333333
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.647278,69.254456,1914.003906,12,1247.927124,619.365723,12,1206.255981,606.742004,0.017788,0.014657,1.000000
1,-189.208496,31.797199,1757.308350,11,793.570435,578.096313,11,722.026672,564.686951,0.095202,0.075276,1.000000
2,-33.468155,1.487576,1701.939331,10,993.992188,538.870972,10,893.155579,525.942932,0.088072,0.066302,0.500000
3,-43.622269,-0.111286,2219.184570,10,993.992188,538.870972,9,1023.225281,521.198669,-4.115582,4.015614,0.500000
4,45.585457,-0.123431,1413.081299,9,1112.363770,534.591736,10,893.155579,525.942932,4.249931,2.641978,0.500000
5,56.445534,-1.761462,1750.080444,9,1112.363770,534.591736,9,1023.225281,521.198669,0.071591,0.054784,0.500000
6,77.130753,-4.632471,897.050537,8,1234.774170,524.467407,8,627.420349,514.289978,1.359205,0.540065,0.333333
7,161.259354,-10.191283,1875.494629,8,1234.774170,524.467407,7,1182.096924,510.374176,0.144683,0.117113,0.333333
8,96.468781,-6.561397,1121.949219,8,1234.774170,524.467407,6,836.621826,510.156342,-1.746871,0.859563,0.333333
9,-249.291550,-8.223541,1708.372803,7,706.673584,525.926941,8,627.420349,514.289978,0.075468,0.058512,0.333333
10,13697.255859,477.686188,-93846.210938,7,706.673584,525.926941,7,1182.096924,510.374176,-1.172821,49.001095,0.333333
11,-409.390167,-15.471829,2805.621582,7,706.673584,525.926941,6,836.621826,510.156342,-3.043376,3.837000,0.333333
12,-56.205738,-6.800500,1228.444824,6,934.518127,522.681152,8,627.420349,514.289978,3.164249,1.745798,0.333333
13,-203.933701,-25.894478,4457.314941,6,934.518127,522.681152,7,1182.096924,510.374176,1.997207,3.895848,0.333333
14,-77.891701,-10.604486,1702.297607,6,934.518127,522.681152,6,836.621826,510.156342,0.076126,0.057629,0.333333
15,210.293854,-21.080404,1957.944824,5,1283.520264,512.298950,5,1253.642822,497.651154,0.192093,0.161414,1.000000
16,-163.103195,-54.308979,1729.501343,4,823.977051,465.332367,4,741.396545,454.635406,0.082407,0.063960,1.000000
17,-515.104919,-147.864304,1935.835083,3,435.421692,363.646729,3,446.031433,361.493073,0.081246,0.072710,1.000000
18,-559.476440,-178.237839,1891.163818,2,368.735931,323.383972,2,377.340576,324.889648,0.062560,0.054979,1.000000
19,-473.770294,-192.635483,1933.110352,1,482.833344,310.798096,1,486.879944,310.432434,0.048761,0.043333,1.000000
20,-512.804993,-223.722733,1890.339355,0,424.060150,268.653473,0,424.965729,272.038757,0.046449,0.040530,1.000000
