# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,13,53.244389,-30.106628,1743.924805,5,1108.437622,497.508881,340,21,21,5,1017.310120,484.072662,365,22,22,0.099738,0.076079,1.000000
0,1,5,-37.547989,-5.528460,1704.321045,8,988.597534,529.475891,354,21,21,9,888.736816,516.659912,380,22,22,0.098829,0.074537,0.250000
0,2,2,-82.966370,-2.400038,1711.051270,9,928.292603,533.677185,349,21,21,10,833.580566,521.021484,363,22,22,0.093584,0.071241,0.500000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.645279,69.250732,1914.020996,11,1247.922974,619.362122,12,1206.256226,606.735107,0.014577,0.012011,1.000000
1,-189.207825,31.788836,1757.305420,10,793.570923,578.086182,11,722.026184,564.675842,0.093951,0.074287,1.000000
2,-82.966370,-2.400038,1711.051270,9,928.292603,533.677185,10,833.580566,521.021484,0.093584,0.071241,0.500000
3,-92.242172,-4.407730,1902.607056,9,928.292603,533.677185,9,888.736816,516.659912,-4.025642,3.398878,0.500000
4,-34.120285,-3.613262,1549.219971,8,988.597534,529.475891,10,833.580566,521.021484,4.207401,2.891981,0.250000
5,-37.547989,-5.528460,1704.321045,8,988.597534,529.475891,9,888.736816,516.659912,0.098829,0.074537,0.250000
6,-25.372784,-4.666115,1151.836792,8,988.597534,529.475891,8,627.433350,514.280334,-3.505970,1.809224,0.250000
7,-78.604942,-15.438807,3570.900635,8,988.597534,529.475891,7,1182.096069,510.366211,-4.846581,7.556052,0.250000
8,77.132790,-4.635234,897.059204,7,1234.777466,524.463257,8,627.433350,514.280334,1.353727,0.537893,0.500000
9,161.260757,-10.196125,1875.479736,7,1234.777466,524.463257,7,1182.096069,510.366211,0.140941,0.114083,0.500000
10,-485.866974,-13.321725,3329.843018,6,706.670349,525.915222,9,888.736816,516.659912,3.726516,5.562856,0.333333
11,-249.301514,-8.231902,1708.424438,6,706.670349,525.915222,8,627.433350,514.280334,0.077235,0.059883,0.333333
12,13695.451172,478.025787,-93833.054688,6,706.670349,525.915222,7,1182.096069,510.366211,-1.169126,48.837666,0.333333
13,53.244389,-30.106628,1743.924805,5,1108.437622,497.508881,5,1017.310120,484.072662,0.099738,0.076079,1.000000
14,-163.107727,-54.317284,1729.522461,4,823.973755,465.322327,4,741.399963,454.625519,0.082331,0.063903,1.000000
15,-515.080872,-147.864868,1935.765137,3,435.428131,363.647644,3,446.020508,361.479187,0.066271,0.059311,1.000000
16,-559.481445,-178.241318,1891.195923,2,368.741241,323.383759,2,377.352875,324.888580,0.061937,0.054434,1.000000
17,-473.764343,-192.644211,1933.110962,1,482.840546,310.795593,1,486.886078,310.415314,0.034092,0.030308,1.000000
18,-512.786133,-223.717773,1890.286011,0,424.065277,268.648743,0,424.957428,272.040283,0.052357,0.045678,1.000000
