# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,8,54.943375,-27.077238,1743.705444,5,1110.667725,501.472809,318,20,21,5,1019.440430,488.017029,346,21,20,0.084656,0.064555,1.000000
0,1,3,-29.123859,14.594040,1703.500854,8,999.847473,556.408203,334,20,21,9,899.332764,543.323547,366,22,21,0.097890,0.073716,1.000000
0,2,2,-74.039276,23.287024,1708.582886,9,940.040649,567.950989,324,20,20,10,844.033630,554.781921,354,22,21,0.090442,0.068673,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.653442,69.245323,1913.977173,11,1247.937500,619.360229,12,1206.259155,606.727783,0.009082,0.007481,1.000000
1,-189.197113,31.789448,1757.315186,10,793.586121,578.091064,11,722.043152,564.672180,0.085492,0.067598,1.000000
2,-74.039276,23.287024,1708.582886,9,940.040649,567.950989,10,844.033630,554.781921,0.090442,0.068673,1.000000
3,-29.123859,14.594040,1703.500854,8,999.847473,556.408203,9,899.332764,543.323547,0.097890,0.073716,1.000000
4,77.134476,-4.634389,897.067017,7,1234.780029,524.468140,8,627.444641,514.279907,1.348454,0.535802,0.500000
5,161.264694,-10.195006,1875.500854,7,1234.780029,524.468140,7,1182.104492,510.364227,0.134005,0.108470,0.500000
6,-249.283096,-8.233113,1708.401978,6,706.690491,525.912170,8,627.444641,514.279907,0.079808,0.061877,0.500000
7,13710.060547,478.669006,-93938.867188,6,706.690491,525.912170,7,1182.104492,510.364227,-1.168011,48.846146,0.500000
8,54.943375,-27.077238,1743.705444,5,1110.667725,501.472809,5,1019.440430,488.017029,0.084656,0.064555,1.000000
9,-163.093811,-54.314327,1729.503418,4,823.989685,465.324890,4,741.408936,454.628967,0.083395,0.064728,1.000000
10,-515.084900,-147.877548,1935.801270,3,435.434479,363.627350,3,446.034760,361.476166,0.082767,0.074070,1.000000
11,-559.447327,-178.243454,1891.124146,2,368.756561,323.372650,2,377.348846,324.878876,0.062669,0.055074,1.000000
12,-473.767181,-192.650421,1933.130981,1,482.842957,310.790497,1,486.892914,310.410645,0.034383,0.030567,1.000000
13,-512.779358,-223.722992,1890.295044,0,424.076324,268.646515,0,424.969086,272.032623,0.047089,0.041087,1.000000
