# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,13,42.364479,-47.075340,1723.052856,5,1094.884399,474.585602,354,21,21,5,997.315247,461.246826,376,22,22,0.083912,0.063326,1.000000
0,1,3,-48.054447,-6.334532,1699.023193,9,974.343689,528.377197,364,21,21,9,873.406372,515.623901,381,22,22,0.086954,0.065467,0.333333
0,2,2,-90.549828,4.207772,1713.151123,10,918.341370,542.485229,351,21,21,10,824.882568,529.701111,366,22,22,0.072684,0.055446,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.681793,69.259285,1914.030640,12,1247.965454,619.370728,12,1206.305298,606.744934,0.017103,0.014093,1.000000
1,-189.165024,31.834805,1757.314453,11,793.627319,578.145020,11,722.084473,564.732666,0.095167,0.075248,1.000000
2,-90.549828,4.207772,1713.151123,10,918.341370,542.485229,10,824.882568,529.701111,0.072684,0.055446,1.000000
3,-48.054447,-6.334532,1699.023193,9,974.343689,528.377197,9,873.406372,515.623901,0.086954,0.065467,0.333333
4,-33.123146,-5.004881,1171.161011,9,974.343689,528.377197,8,627.476868,514.356995,-2.345859,1.231664,0.333333
5,-106.565468,-17.193855,3769.275146,9,974.343689,528.377197,7,1182.144653,510.374359,-3.726854,6.136785,0.333333
6,100.866074,-5.405781,1172.790039,8,1234.817627,524.471375,9,873.406372,515.623901,3.901360,2.003263,0.333333
7,77.148796,-4.617994,897.061768,8,1234.817627,524.471375,8,627.476868,514.356995,1.424488,0.566008,0.333333
8,161.295181,-10.188838,1875.496948,8,1234.817627,524.471375,7,1182.144653,510.374359,0.142668,0.115481,0.333333
9,-460.495087,-13.356320,3156.315430,7,706.722107,525.993164,9,873.406372,515.623901,2.541757,3.598930,0.333333
10,-249.259033,-8.172023,1708.402100,7,706.722107,525.993164,8,627.476868,514.356995,0.080589,0.062483,0.333333
11,13679.928711,475.736694,-93739.109375,7,706.722107,525.993164,7,1182.144653,510.374359,-1.236581,51.644863,0.333333
12,210.327545,-21.080931,1957.919067,6,1283.562866,512.308472,6,1253.682983,497.637634,0.170684,0.143422,1.000000
13,42.364479,-47.075340,1723.052856,5,1094.884399,474.585602,5,997.315247,461.246826,0.083912,0.063326,1.000000
14,-163.070236,-54.271084,1729.516235,4,824.022034,465.382385,4,741.446289,454.682861,0.083192,0.064570,1.000000
15,-515.091370,-147.868576,1935.801147,3,435.426331,363.635529,3,446.030945,361.486389,0.086858,0.077729,1.000000
16,-559.468872,-178.241959,1891.149780,2,368.739410,323.381470,2,377.343262,324.877533,0.054476,0.047879,1.000000
17,-473.762909,-192.639206,1933.102661,1,482.839264,310.795471,1,486.886505,310.422638,0.043234,0.038426,1.000000
18,-512.778381,-223.718857,1890.280640,0,424.072205,268.648468,0,424.965302,272.034180,0.048362,0.042195,1.000000
