frame_idx,timestamp_us,counter,format,width,height,stride_bytes,desynchro_us
0,358287221,119622,0,2048,1088,2048,0
1,358469311,119683,0,2048,1088,2048,0
2,358642445,119741,0,2048,1088,2048,0
3,358794684,119792,0,2048,1088,2048,0
4,358967819,119850,0,2048,1088,2048,0
5,359129013,119904,0,2048,1088,2048,0
6,359302148,119962,0,2048,1088,2048,0
7,359505133,120030,0,2048,1088,2048,0
8,360132000,120240,0,2048,1088,2048,0
9,360720061,120437,0,2048,1088,2048,0
10,361263345,120619,0,2048,1088,2048,0
11,361502152,120699,0,2048,1088,2048,0
12,361800660,120799,0,2048,1088,2048,0
13,362048421,120882,0,2048,1088,2048,0
14,362311108,120970,0,2048,1088,2048,0
15,362508124,121036,0,2048,1088,2048,0
16,362740960,121114,0,2048,1088,2048,0
17,362985737,121196,0,2048,1088,2048,0
18,363191707,121265,0,2048,1088,2048,0
19,363430513,121345,0,2048,1088,2048,0
20,363600663,121402,0,2048,1088,2048,0
21,363902156,121503,0,2048,1088,2048,0
22,364090216,121566,0,2048,1088,2048,0
23,364323052,121644,0,2048,1088,2048,0
24,364534993,121715,0,2048,1088,2048,0
25,364726038,121779,0,2048,1088,2048,0
26,364979770,121864,0,2048,1088,2048,0
27,365585741,122067,0,2048,1088,2048,0
28,365884249,122167,0,2048,1088,2048,0
29,366164847,122261,0,2048,1088,2048,0
30,366552907,122391,0,2048,1088,2048,0
31,366797684,122473,0,2048,1088,2048,0
32,367036490,122553,0,2048,1088,2048,0
33,367290222,122638,0,2048,1088,2048,0
34,368057387,122895,0,2048,1088,2048,0
35,368323060,122984,0,2048,1088,2048,0
36,369045449,123226,0,2048,1088,2048,0
37,369317091,123317,0,2048,1088,2048,0
38,369612614,123416,0,2048,1088,2048,0
39,369908137,123515,0,2048,1088,2048,0
40,370579780,123740,0,2048,1088,2048,0
41,371415602,124020,0,2048,1088,2048,0
42,372066350,124238,0,2048,1088,2048,0
43,372967844,124540,0,2048,1088,2048,0
44,373923070,124860,0,2048,1088,2048,0
45,374158891,124939,0,2048,1088,2048,0
46,374406653,125022,0,2048,1088,2048,0
47,374687250,125116,0,2048,1088,2048,0
48,374967848,125210,0,2048,1088,2048,0
49,375890237,125519,0,2048,1088,2048,0
50,376236507,125635,0,2048,1088,2048,0
51,376696209,125789,0,2048,1088,2048,0
52,377717106,126131,0,2048,1088,2048,0
53,378636511,126439,0,2048,1088,2048,0
54,378994721,126559,0,2048,1088,2048,0
55,379272333,126652,0,2048,1088,2048,0
56,379555916,126747,0,2048,1088,2048,0
57,380230544,126973,0,2048,1088,2048,0
58,380546962,127079,0,2048,1088,2048,0
59,381021590,127238,0,2048,1088,2048,0
60,381257411,127317,0,2048,1088,2048,0
61,381490247,127395,0,2048,1088,2048,0
62,381824576,127507,0,2048,1088,2048,0
63,382054428,127584,0,2048,1088,2048,0
64,382911146,127871,0,2048,1088,2048,0
65,383227564,127977,0,2048,1088,2048,0
66,383830550,128179,0,2048,1088,2048,0
67,384457417,128389,0,2048,1088,2048,0
68,384723089,128478,0,2048,1088,2048,0
69,385042493,128585,0,2048,1088,2048,0
70,385409658,128708,0,2048,1088,2048,0
71,385893240,128870,0,2048,1088,2048,0
72,386197719,128972,0,2048,1088,2048,0
73,386532048,129084,0,2048,1088,2048,0
74,386800705,129174,0,2048,1088,2048,0
75,387024586,129249,0,2048,1088,2048,0
76,387317124,129347,0,2048,1088,2048,0
77,388248469,129659,0,2048,1088,2048,0
78,388857425,129863,0,2048,1088,2048,0
79,389552949,130096,0,2048,1088,2048,0
80,390069367,130269,0,2048,1088,2048,0
81,390905190,130549,0,2048,1088,2048,0
82,391532057,130759,0,2048,1088,2048,0
83,391818624,130855,0,2048,1088,2048,0
84,392681312,131144,0,2048,1088,2048,0
85,393523105,131426,0,2048,1088,2048,0
86,393732061,131496,0,2048,1088,2048,0
87,394078330,131612,0,2048,1088,2048,0
88,394991764,131918,0,2048,1088,2048,0
89,395681318,132149,0,2048,1088,2048,0
90,396260423,132343,0,2048,1088,2048,0
91,396839529,132537,0,2048,1088,2048,0
92,397341022,132705,0,2048,1088,2048,0
93,397645500,132807,0,2048,1088,2048,0
94,397929083,132902,0,2048,1088,2048,0
95,398570875,133117,0,2048,1088,2048,0
96,399090279,133291,0,2048,1088,2048,0
97,399493265,133426,0,2048,1088,2048,0
98,400230580,133673,0,2048,1088,2048,0
99,400591774,133794,0,2048,1088,2048,0
100,400878342,133890,0,2048,1088,2048,0
101,401517149,134104,0,2048,1088,2048,0
102,402379837,134393,0,2048,1088,2048,0
103,403018644,134607,0,2048,1088,2048,0
104,403415660,134740,0,2048,1088,2048,0
105,404176855,134995,0,2048,1088,2048,0
106,405152977,135322,0,2048,1088,2048,0
107,405818649,135545,0,2048,1088,2048,0
108,406421636,135747,0,2048,1088,2048,0
109,406708203,135843,0,2048,1088,2048,0
110,407454473,136093,0,2048,1088,2048,0
111,408227609,136352,0,2048,1088,2048,0
112,409096267,136643,0,2048,1088,2048,0
113,409505223,136780,0,2048,1088,2048,0
114,410463434,137101,0,2048,1088,2048,0
115,411588809,137478,0,2048,1088,2048,0
116,411812690,137553,0,2048,1088,2048,0
117,412084332,137644,0,2048,1088,2048,0
118,412352990,137734,0,2048,1088,2048,0
119,412705229,137852,0,2048,1088,2048,0
120,413015677,137956,0,2048,1088,2048,0
121,413341051,138065,0,2048,1088,2048,0
122,414209709,138356,0,2048,1088,2048,0
123,414642546,138501,0,2048,1088,2048,0
124,415323144,138729,0,2048,1088,2048,0
125,415821653,138896,0,2048,1088,2048,0
126,416391803,139087,0,2048,1088,2048,0
127,416866431,139246,0,2048,1088,2048,0
128,417126133,139333,0,2048,1088,2048,0
129,417439566,139438,0,2048,1088,2048,0
130,418132104,139670,0,2048,1088,2048,0
131,419099270,139994,0,2048,1088,2048,0
132,419845540,140244,0,2048,1088,2048,0
133,420824647,140572,0,2048,1088,2048,0
134,421538081,140811,0,2048,1088,2048,0
135,421908231,140935,0,2048,1088,2048,0
136,422729128,141210,0,2048,1088,2048,0
137,423603756,141503,0,2048,1088,2048,0
138,424355996,141755,0,2048,1088,2048,0
139,424630624,141847,0,2048,1088,2048,0
140,425526148,142147,0,2048,1088,2048,0
141,426224656,142381,0,2048,1088,2048,0
142,426726150,142549,0,2048,1088,2048,0
143,427006747,142643,0,2048,1088,2048,0
144,427463465,142796,0,2048,1088,2048,0
145,428457496,143129,0,2048,1088,2048,0
146,428985855,143306,0,2048,1088,2048,0
147,429675409,143537,0,2048,1088,2048,0
148,430609739,143850,0,2048,1088,2048,0
149,431332128,144092,0,2048,1088,2048,0
150,432129145,144359,0,2048,1088,2048,0
151,432917206,144623,0,2048,1088,2048,0
152,433606759,144854,0,2048,1088,2048,0
153,434066462,145008,0,2048,1088,2048,0
154,434672433,145211,0,2048,1088,2048,0
155,435493330,145486,0,2048,1088,2048,0
156,436251540,145740,0,2048,1088,2048,0
157,437218706,146064,0,2048,1088,2048,0
158,437496318,146157,0,2048,1088,2048,0
159,437800797,146259,0,2048,1088,2048,0
160,438126170,146368,0,2048,1088,2048,0
161,439078411,146687,0,2048,1088,2048,0
162,439953039,146980,0,2048,1088,2048,0
163,440764981,147252,0,2048,1088,2048,0
164,441911252,147636,0,2048,1088,2048,0
165,442508268,147836,0,2048,1088,2048,0
166,442824686,147942,0,2048,1088,2048,0
167,443114239,148039,0,2048,1088,2048,0
168,443547076,148184,0,2048,1088,2048,0
169,444553048,148521,0,2048,1088,2048,0
170,444944093,148652,0,2048,1088,2048,0
171,445224691,148746,0,2048,1088,2048,0
172,445460512,148825,0,2048,1088,2048,0
173,446114244,149044,0,2048,1088,2048,0
174,446738126,149253,0,2048,1088,2048,0
175,447039619,149354,0,2048,1088,2048,0
176,447782904,149603,0,2048,1088,2048,0
177,448138129,149722,0,2048,1088,2048,0
178,448976936,150003,0,2048,1088,2048,0
179,449642609,150226,0,2048,1088,2048,0
180,449967983,150335,0,2048,1088,2048,0
181,450570969,150537,0,2048,1088,2048,0
182,450997835,150680,0,2048,1088,2048,0
183,451711269,150919,0,2048,1088,2048,0
184,452442614,151164,0,2048,1088,2048,0
185,453245601,151433,0,2048,1088,2048,0
186,453487392,151514,0,2048,1088,2048,0
187,454517245,151859,0,2048,1088,2048,0
188,455138141,152067,0,2048,1088,2048,0
189,455338142,152134,0,2048,1088,2048,0
190,456290382,152453,0,2048,1088,2048,0
191,456959040,152677,0,2048,1088,2048,0
192,457869489,152982,0,2048,1088,2048,0
193,458153072,153077,0,2048,1088,2048,0
194,458478446,153186,0,2048,1088,2048,0
195,458762028,153281,0,2048,1088,2048,0
196,459424716,153503,0,2048,1088,2048,0
197,459681433,153589,0,2048,1088,2048,0
198,460260539,153783,0,2048,1088,2048,0
199,460651584,153914,0,2048,1088,2048,0
