frame_idx,marker_idx,geometryId,trackingId,registrationError_mm,tx_mm,ty_mm,tz_mm,r00,r01,r02,r10,r11,r12,r20,r21,r22,presenceMask,fidCorresp0,fidCorresp1,fidCorresp2,fidCorresp3,fidCorresp4,fidCorresp5,status_bits
0,0,420,0,0.156777,-113.725731,-84.946907,1645.019775,0.801676,0.444547,-0.399617,0.427810,0.040217,0.902974,0.417485,-0.894852,-0.157941,7,8,3,2,4294967295,4294967295,4294967295,0
1,0,420,1,0.148481,-163.555786,-11.760227,1630.943237,0.929638,0.357163,-0.090600,0.031673,0.167513,0.985361,0.367111,-0.918898,0.144414,7,6,2,5,4294967295,4294967295,4294967295,0
2,0,420,2,0.155551,-134.395508,-71.771378,1648.095337,0.872329,0.402680,-0.277292,0.306906,-0.009502,0.951692,0.380593,-0.915291,-0.131875,7,9,8,2,4294967295,4294967295,4294967295,0
3,0,420,3,0.169117,-113.768486,-71.244820,1639.750244,0.776970,0.472829,-0.415633,0.443213,0.058023,0.894536,0.447079,-0.879242,-0.164482,7,8,3,1,4294967295,4294967295,4294967295,0
4,0,420,4,0.147730,-165.654953,-15.433963,1627.927002,0.919980,0.391961,-0.001692,-0.073499,0.176748,0.981508,0.385012,-0.902844,0.191413,7,7,8,9,4294967295,4294967295,4294967295,0
5,0,420,5,0.183585,-115.747643,-66.835320,1633.144165,0.775564,0.540397,-0.326299,0.356393,0.051811,0.932899,0.521041,-0.839814,-0.152411,7,8,3,2,4294967295,4294967295,4294967295,0
6,0,420,6,0.159063,-140.878693,-39.302334,1617.015503,0.843659,0.499008,-0.198065,0.164379,0.111114,0.980119,0.511095,-0.859444,0.011715,7,7,3,2,4294967295,4294967295,4294967295,0
7,0,420,7,0.163251,-150.261276,-28.317017,1628.966431,0.887908,0.424584,-0.177052,0.130446,0.136696,0.981987,0.441138,-0.895010,0.065988,7,9,5,2,4294967295,4294967295,4294967295,0
8,0,420,8,0.175267,-126.685928,-55.387821,1625.672852,0.833854,0.498365,-0.237320,0.229753,0.077565,0.970153,0.501898,-0.863491,-0.049823,7,8,3,2,4294967295,4294967295,4294967295,0
9,0,420,9,0.170548,-155.049362,2.654204,1626.326904,0.894483,0.445845,-0.033492,-0.075839,0.225123,0.971374,0.440623,-0.866338,0.235182,7,2,5,15,4294967295,4294967295,4294967295,0
10,0,420,10,0.153019,-148.229370,-9.597072,1613.159180,0.877744,0.479040,-0.009298,-0.066243,0.140552,0.987855,0.474529,-0.866467,0.155102,7,4,6,7,4294967295,4294967295,4294967295,0
11,0,420,11,0.171416,-148.134506,-10.744045,1615.072632,0.882842,0.469358,0.017097,-0.115896,0.182429,0.976365,0.455146,-0.863957,0.215453,7,7,8,9,4294967295,4294967295,4294967295,0
12,0,420,12,0.148166,-131.947922,-15.747663,1622.388306,0.871267,0.488370,-0.048874,-0.055104,0.196282,0.978998,0.487706,-0.850275,0.197925,7,6,11,12,4294967295,4294967295,4294967295,0
