frame_idx,detection_idx,centerX_pixels,centerY_pixels,pixelsCount,width,height,status_bits
0,0,425.644348,268.418335,168,15,15,0
0,1,484.381592,310.576477,168,15,15,0
0,2,370.309296,323.149261,166,15,15,0
0,3,436.970947,363.411224,154,14,13,0
0,4,825.467773,465.081238,330,21,20,0
0,5,1017.641235,483.734894,351,21,22,0
0,6,708.175293,525.653809,339,21,21,0
0,7,1236.418823,523.982422,123,9,17,0
0,8,1137.118530,543.339294,341,20,22,0
0,9,1169.468750,566.200317,318,19,21,0
0,10,795.038330,577.851379,322,20,20,0
0,11,1249.724731,618.847656,119,9,16,0
0,12,640.089600,872.909241,21,5,6,0
0,13,468.875854,908.643494,94,14,14,0
0,14,495.500000,932.409119,11,5,5,0
1,0,425.638428,268.426331,170,15,15,0
1,1,484.389679,310.568848,169,15,15,0
1,2,370.303040,323.148987,169,15,15,0
1,3,436.967590,363.406311,155,14,13,0
1,4,825.462524,465.086456,330,21,20,0
1,5,708.164917,525.645264,341,21,21,0
1,6,963.965576,529.368469,371,22,22,0
1,7,1144.363403,535.693909,333,20,21,0
1,8,1101.328491,537.940735,361,21,22,0
1,9,795.034119,577.844910,322,20,20,0
1,10,1249.719727,618.831909,121,9,17,0
1,11,639.144653,874.806580,19,5,5,0
1,12,468.772736,911.259583,73,12,12,0
2,0,425.659271,268.420319,171,15,15,0
2,1,484.392487,310.568329,168,15,15,0
2,2,370.324188,323.151062,170,15,15,0
2,3,436.990784,363.402985,155,14,13,0
2,4,825.484985,465.082764,330,21,20,0
2,5,998.143921,482.055511,360,21,22,0
2,6,1126.783691,524.151428,350,21,22,0
2,7,708.187012,525.646973,341,21,21,0
2,8,1164.468872,541.854431,325,19,21,0
2,9,795.053650,577.842773,322,20,20,0
2,10,1249.732544,618.834778,120,9,17,0
2,11,639.744690,870.496094,17,4,5,0
2,12,469.963104,907.620361,77,12,12,0
3,0,425.652710,268.420227,169,15,15,0
3,1,484.401459,310.547974,168,15,15,0
3,2,370.327728,323.136749,171,15,15,0
3,3,436.977692,363.406464,155,14,13,0
3,4,825.475098,465.081818,329,21,20,0
3,5,1014.903748,505.314087,346,20,22,0
3,6,708.170288,525.641479,341,21,21,0
3,7,1236.430786,523.975830,122,9,17,0
3,8,1131.703491,567.127747,337,20,22,0
3,9,795.047668,577.846191,321,20,20,0
3,10,1162.018677,589.891541,313,20,21,0
3,11,1249.727295,618.839966,120,9,17,0
3,12,638.371033,874.908447,26,5,6,0
3,13,465.570557,911.614868,94,13,13,0
4,0,425.637421,268.418579,170,15,15,0
4,1,484.375122,310.561798,167,15,15,0
4,2,370.309418,323.143433,169,15,15,0
4,3,436.961914,363.407654,155,14,13,0
4,4,825.464661,465.084290,329,21,20,0
4,5,1139.192261,495.745300,329,20,21,0
4,6,1097.553711,503.523346,351,21,21,0
4,7,960.643860,508.895660,364,21,22,0
4,8,708.172363,525.646851,339,21,21,0
4,9,1236.406860,523.977661,122,9,17,0
4,10,795.036560,577.846619,323,20,20,0
4,11,1249.718628,618.836365,120,9,17,0
4,12,640.404541,874.060181,33,7,6,0
4,13,465.704193,908.141907,121,16,15,0
4,14,497.651154,937.174438,13,7,7,0
5,0,425.633850,268.417694,170,15,15,0
5,1,484.370270,310.568573,169,15,15,0
5,2,370.293610,323.149658,170,15,15,0
5,3,436.952454,363.403839,155,14,13,0
5,4,825.457336,465.085815,330,21,20,0
5,5,1014.172791,498.283295,338,20,22,0
5,6,708.159424,525.641907,343,21,21,0
5,7,1236.403442,523.984924,123,9,17,0
5,8,1131.817749,548.230835,322,19,22,0
5,9,1160.141113,566.504761,299,18,21,0
5,10,795.023926,577.851074,321,20,20,0
5,11,1249.707153,618.849915,121,9,17,0
5,12,638.940125,877.255066,28,6,6,0
5,13,463.312378,912.400757,100,14,13,0
6,0,425.627838,268.417816,170,15,15,0
6,1,484.367981,310.557037,170,15,15,0
6,2,370.287628,323.137482,172,15,15,0
6,3,436.957275,363.401611,155,14,13,0
6,4,825.451904,465.082123,329,21,20,0
6,5,987.688538,509.216492,347,20,22,0
6,6,708.158691,525.641296,343,21,21,0
6,7,1115.486572,534.835205,334,19,22,0
6,8,1149.263916,541.456360,311,19,21,0
6,9,795.025879,577.844055,324,20,20,0
6,10,1249.709717,618.845520,120,9,16,0
6,11,638.753723,879.838318,26,6,6,0
6,12,462.381317,914.272705,65,12,10,0
7,0,425.638702,268.399628,170,15,15,0
7,1,484.368134,310.549805,169,15,15,0
7,2,370.295074,323.121552,169,15,15,0
7,3,436.961060,363.393768,155,14,13,0
7,4,825.449951,465.073608,329,21,20,0
7,5,978.857971,520.240601,356,20,22,0
7,6,708.159180,525.629456,340,21,21,0
7,7,1111.100098,541.617920,343,20,21,0
7,8,1149.434204,545.600647,319,19,21,0
7,9,795.031555,577.832336,323,21,20,0
7,10,1249.705078,618.826965,121,9,17,0
8,0,425.668457,268.416107,168,15,15,0
8,1,484.410614,310.555115,169,15,15,0
8,2,370.341370,323.133606,171,15,15,0
8,3,437.002716,363.385010,155,14,13,0
8,4,825.490051,465.076050,330,21,20,0
8,5,1006.031860,495.812225,350,20,22,0
8,6,708.205017,525.638672,341,21,21,0
8,7,1131.565674,529.610291,327,19,21,0
8,8,1164.362549,540.755737,307,19,21,0
8,9,795.071594,577.836487,322,21,20,0
8,10,1249.743774,618.842346,119,9,16,0
9,0,425.631897,268.424500,170,15,15,0
9,1,484.364777,310.574829,167,15,15,0
