frame_idx,detection_idx,centerX_pixels,centerY_pixels,pixelsCount,width,height,status_bits
0,0,426.447906,271.780670,164,15,14,0
0,1,488.370270,310.173706,162,15,14,0
0,2,378.836731,324.617615,162,14,15,0
0,3,447.507812,361.234253,156,15,13,0
0,4,742.906128,454.387054,358,22,21,0
0,5,904.385498,471.127411,396,23,22,0
0,6,1255.393555,497.003937,216,14,20,0
0,7,1183.837524,509.856018,242,15,20,0
0,8,628.926453,514.014893,355,22,20,0
0,9,1029.356567,529.986450,388,22,22,0
0,10,1072.508667,552.857178,367,21,22,0
0,11,723.487549,564.424011,342,21,21,0
0,12,1208.155884,606.185791,233,15,20,0
1,0,426.459686,271.774841,165,15,14,0
1,1,488.377014,310.166290,162,15,14,0
1,2,378.838745,324.610138,164,14,15,0
1,3,447.502014,361.222504,156,15,13,0
1,4,742.901917,454.383301,357,22,21,0
1,5,1255.392578,497.002960,217,14,20,0
1,6,1183.824463,509.851196,242,15,20,0
1,7,628.924133,514.010803,357,22,20,0
1,8,846.303467,516.739380,405,23,23,0
1,9,1038.491821,522.260742,374,21,22,0
1,10,985.454163,524.735413,403,23,23,0
1,11,723.482117,564.423706,343,21,21,0
1,12,1208.153442,606.183594,233,15,20,0
2,0,426.471771,271.779510,165,15,14,0
2,1,488.384308,310.168274,164,15,14,0
2,2,378.858795,324.614899,165,14,15,0
2,3,447.516022,361.226562,156,15,13,0
2,4,742.919128,454.380493,355,22,21,0
2,5,885.213013,469.640717,402,23,23,0
2,6,1255.412231,497.006622,218,14,20,0
2,7,1017.281738,510.759918,397,23,22,0
2,8,1183.844238,509.857239,241,15,20,0
2,9,628.945007,514.013245,353,22,20,0
2,10,1065.280884,528.341858,377,22,22,0
2,11,723.507141,564.422058,342,21,21,0
2,12,1208.168823,606.184937,233,15,20,0
3,0,426.466217,271.777710,166,15,14,0
3,1,488.384918,310.166138,163,15,14,0
3,2,378.842896,324.610443,165,14,15,0
3,3,447.527435,361.224548,157,15,14,0
3,4,742.915955,454.381775,357,22,21,0
3,5,901.260803,492.604401,392,23,23,0
