frame_idx,sdk_fid_count,our_fid_count,count_diff,sdk_px,sdk_py,sdk_pz,sdk_epiErr,sdk_triErr,sdk_prob,sdk_status,our_px,our_py,our_pz,our_epiErr,our_triErr,our_prob,pos_diff_mm,epi_diff_px,tri_diff_mm
0,13,13,0,196.775558,53.156658,1930.500244,0.119996,0.099531,1.000000,0,196.775589,53.156662,1930.500122,0.119989,0.099528,1.000000,0.000126,0.000007,0.000002
0,13,13,0,-187.239700,24.024189,1777.859619,0.161810,0.129345,1.000000,0,-187.239700,24.024191,1777.859619,0.161765,0.129311,1.000000,0.000002,0.000045,0.000034
0,13,13,0,-247.825851,-19.713518,1732.978149,0.173760,0.136516,1.000000,0,-247.825790,-19.713509,1732.978027,0.173722,0.136483,1.000000,0.000137,0.000039,0.000032
0,13,13,0,175.230362,-26.444574,1896.014282,0.175881,0.143667,1.000000,0,175.230362,-26.444574,1896.014404,0.175852,0.143640,1.000000,0.000122,0.000030,0.000027
0,13,13,0,226.126831,-37.677898,1977.271851,0.216010,0.182953,1.000000,0,226.126892,-37.677898,1977.271729,0.215986,0.182928,1.000000,0.000136,0.000024,0.000025
0,13,13,0,-161.469589,-64.075760,1756.951050,0.202244,0.159279,1.000000,0,-161.469604,-64.075768,1756.951172,0.202191,0.159229,1.000000,0.000123,0.000053,0.000050
0,13,13,0,31.959469,-128.556717,1820.651855,0.145900,0.116101,1.000000,0,31.959490,-128.556702,1820.651733,0.145887,0.116069,1.000000,0.000125,0.000012,0.000031
0,13,13,0,-513.811340,-147.868073,1936.040771,0.148785,0.133123,1.000000,0,-513.807617,-147.866852,1936.026611,0.149131,0.133406,1.000000,0.014692,0.000345,0.000283
0,13,13,0,-558.228699,-178.252472,1891.468994,0.137542,0.120834,1.000000,0,-558.228699,-178.252457,1891.468872,0.137554,0.120811,1.000000,0.000123,0.000011,0.000023
0,13,13,0,-472.482758,-192.629700,1933.332764,0.113928,0.101189,1.000000,0,-472.482697,-192.629684,1933.332642,0.113923,0.101148,1.000000,0.000137,0.000004,0.000041
