Timestamp;Index;CoordX;CoordY;CoordZ;Epipolar;Triangulation;Probability;LeftIndex;RightIndex
0x000000005a303582;0;93.2118;46.5752;826.3555;-0.5079;0.1854;1.0000;3;3
0x000000005a303582;1;143.7746;28.1296;796.8749;0.1981;0.0690;1.0000;2;2
0x000000005a303582;2;82.9761;-7.4839;813.5930;-0.0195;0.0070;1.0000;1;1
0x000000005a303582;3;119.0608;-33.5481;789.3627;0.0425;0.0147;1.0000;0;0
0x000000005a32598c;0;92.9597;46.6577;826.3680;-0.5202;0.1899;1.0000;3;3
0x000000005a32598c;1;143.4682;28.1798;796.8127;0.1986;0.0691;1.0000;2;2
0x000000005a32598c;2;82.6739;-7.3980;813.6127;-0.0229;0.0083;1.0000;1;1
0x000000005a32598c;3;118.7057;-33.4857;789.3324;0.0390;0.0135;1.0000;0;0
0x000000005a327c88;0;92.9567;46.6621;826.3996;-0.5082;0.1855;1.0000;3;3
0x000000005a327c88;1;143.4678;28.1859;796.8423;0.1941;0.0676;1.0000;2;2
0x000000005a327c88;2;82.6763;-7.3959;813.6541;-0.0239;0.0086;1.0000;1;1
0x000000005a327c88;3;118.7109;-33.4841;789.3774;0.0348;0.0121;1.0000;0;0
0x000000005a32e579;0;92.9437;46.6667;826.4930;-0.5094;0.1860;1.0000;3;3
0x000000005a32e579;1;143.4631;28.1645;796.9819;0.1976;0.0688;1.0000;2;2
0x000000005a32e579;2;82.6577;-7.3945;813.7874;-0.0263;0.0095;1.0000;1;1
0x000000005a32e579;3;118.7004;-33.5041;789.5367;0.0419;0.0146;1.0000;0;0
0x000000005a330874;0;92.9351;46.6654;826.5253;-0.5065;0.1849;1.0000;3;3
0x000000005a330874;1;143.4580;28.1521;797.0212;0.1947;0.0678;1.0000;2;2
0x000000005a330874;2;82.6474;-7.3981;813.8298;-0.0224;0.0081;1.0000;1;1
0x000000005a330874;3;118.6915;-33.5158;789.5925;0.0410;0.0143;1.0000;0;0
0x000000005a3365bd;0;92.9138;46.6644;826.5594;-0.4996;0.1824;1.0000;3;3
0x000000005a3365bd;1;143.4402;28.1359;797.0689;0.1911;0.0665;1.0000;2;2
0x000000005a3365bd;2;82.6226;-7.4010;813.8761;-0.0246;0.0089;1.0000;1;1
0x000000005a3365bd;3;118.6682;-33.5326;789.6618;0.0356;0.0123;1.0000;0;0
0x000000005a3388b8;0;92.9025;46.6719;826.5504;-0.5025;0.1835;1.0000;3;3
0x000000005a3388b8;1;143.4277;28.1417;797.0623;0.1953;0.0680;1.0000;2;2
0x000000005a3388b8;2;82.6109;-7.3937;813.8651;-0.0252;0.0091;1.0000;1;1
0x000000005a3388b8;3;118.6560;-33.5246;789.6464;0.0414;0.0144;1.0000;0;0
0x000000005a33da58;0;92.8699;46.6965;826.4991;-0.5191;0.1895;1.0000;3;3
0x000000005a33da58;1;143.3832;28.1780;796.9800;0.1907;0.0664;1.0000;2;2
0x000000005a33da58;2;82.5724;-7.3676;813.7961;-0.0254;0.0092;1.0000;1;1
0x000000005a33da58;3;118.6075;-33.4888;789.5577;0.0390;0.0135;1.0000;0;0
0x000000005a33fd53;0;92.8477;46.7075;826.4760;-0.5149;0.1880;1.0000;3;3
0x000000005a33fd53;1;143.3566;28.1934;796.9418;0.1962;0.0683;1.0000;2;2
0x000000005a33fd53;2;82.5485;-7.3530;813.7520;-0.0307;0.0111;1.0000;1;1
0x000000005a33fd53;3;118.5786;-33.4687;789.4957;0.0367;0.0127;1.0000;0;0
0x000000005a345a9c;0;92.8054;46.7320;826.4034;-0.5111;0.1866;1.0000;3;3
0x000000005a345a9c;1;143.2946;28.2254;796.8257;0.1867;0.0650;1.0000;2;2
0x000000005a345a9c;2;82.4844;-7.3200;813.6462;-0.0319;0.0115;1.0000;1;1
0x000000005a345a9c;3;118.4973;-33.4291;789.3539;0.0380;0.0132;1.0000;0;0
0x000000005a3471ee;0;92.7956;46.7315;826.3838;-0.5128;0.1872;1.0000;3;3
0x000000005a3471ee;1;143.2815;28.2295;796.8034;0.1945;0.0677;1.0000;2;2
